artist,track,position,date
Drake,Hotline Bling,1,2016-01-02
Fetty Wap Featuring Remy Boyz,679,2,2016-01-02
Drake & Future,Jumpman,3,2016-01-02
Travi$ Scott,Antidote,4,2016-01-02
Post Malone,White Iverson,5,2016-01-02
Future Featuring Drake,Where Ya At,6,2016-01-02
G-Eazy x Bebe Rexha,"Me, Myself & I",7,2016-01-02
Fetty Wap,Again,8,2016-01-02
iLoveMemphis,Hit The Quan,9,2016-01-02
DeJ Loaf Featuring Big Sean,Back Up,10,2016-01-02
Fetty Wap Featuring Monty,My Way,11,2016-01-02
Missy Elliott Featuring Pharrell Williams,WTF (Where They From),12,2016-01-02
Yo Gotti,Down In The DM,13,2016-01-02
DLOW,Bet You Can't Do It Like Me,14,2016-01-02
Drake & Future,Big Rings,15,2016-01-02
Drake,Back To Back,16,2016-01-02
Young Thug,Best Friend,17,2016-01-02
Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,18,2016-01-02
Ty Dolla $ign Featuring Future & Rae Sremmurd,Blase,19,2016-01-02
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Downtown,20,2016-01-02
Big Sean Featuring Chris Brown & Ty Dolla $ign,Play No Games,21,2016-01-02
Drake,Right Hand,22,2016-01-02
Future,Stick Talk,23,2016-01-02
Kevin Gates,Really Really,24,2016-01-02
Fetty Wap,RGF Island,25,2016-01-02
Drake,Hotline Bling,1,2016-01-09
Drake & Future,Jumpman,2,2016-01-09
Fetty Wap Featuring Remy Boyz,679,3,2016-01-09
Travi$ Scott,Antidote,4,2016-01-09
Post Malone,White Iverson,5,2016-01-09
iLoveMemphis,Hit The Quan,6,2016-01-09
G-Eazy x Bebe Rexha,"Me, Myself & I",7,2016-01-09
Fetty Wap,Again,8,2016-01-09
Future Featuring Drake,Where Ya At,9,2016-01-09
DLOW,Bet You Can't Do It Like Me,10,2016-01-09
Yo Gotti,Down In The DM,11,2016-01-09
DeJ Loaf Featuring Big Sean,Back Up,12,2016-01-09
Missy Elliott Featuring Pharrell Williams,WTF (Where They From),13,2016-01-09
Drake & Future,Big Rings,14,2016-01-09
Young Thug,Best Friend,15,2016-01-09
Drake,Back To Back,16,2016-01-09
Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,17,2016-01-09
Drake,Right Hand,18,2016-01-09
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Downtown,19,2016-01-09
Fetty Wap,RGF Island,20,2016-01-09
Ty Dolla $ign Featuring Future & Rae Sremmurd,Blase,21,2016-01-09
Big Sean Featuring Chris Brown & Ty Dolla $ign,Play No Games,22,2016-01-09
Kevin Gates,Really Really,23,2016-01-09
Future,Stick Talk,24,2016-01-09
2 Chainz,Watch Out,25,2016-01-09
Drake,Hotline Bling,1,2016-01-16
Fetty Wap Featuring Remy Boyz,679,2,2016-01-16
Drake & Future,Jumpman,3,2016-01-16
Post Malone,White Iverson,4,2016-01-16
Travi$ Scott,Antidote,5,2016-01-16
G-Eazy x Bebe Rexha,"Me, Myself & I",6,2016-01-16
iLoveMemphis,Hit The Quan,7,2016-01-16
Fetty Wap,Again,8,2016-01-16
Future Featuring Drake,Where Ya At,9,2016-01-16
Yo Gotti,Down In The DM,10,2016-01-16
DLOW,Bet You Can't Do It Like Me,11,2016-01-16
DeJ Loaf Featuring Big Sean,Back Up,12,2016-01-16
Drake & Future,Big Rings,13,2016-01-16
Missy Elliott Featuring Pharrell Williams,WTF (Where They From),14,2016-01-16
Drake,Right Hand,15,2016-01-16
Young Thug,Best Friend,16,2016-01-16
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Downtown,17,2016-01-16
Fetty Wap,RGF Island,18,2016-01-16
