,Unnamed: 0,Unnamed: 0.1,artist,track,position,date,lyrics,genius_artist
0,0,0,The 2 Live Crew,Me So Horny,1,1989-11-04,"

[Intro]
""What'll we get for 10 dollars?""
""Every 'ting you want""
""Everything?""
""Every 'ting..""

[Hook]
Ahh! Me so horny!
Me love you long time!

[Verse 1: Brother Marquis]
Sitting at home with my dick on hard
So I got the black book for a freak to call
Picked up the telephone, then dialed the 7 digits
Said, ""Yo, this Marquis, baby! Are you down with it?""
I arrived at her house, knocked on the door
Not having no idea of what the night had in store
I'm like a dog in heat, a freak without warning
I have an appetite for sex, cause me so horny

[Hook]

[Verse 2: Fresh Kid Ice]
Girls always ask me why I fuck so much
I say ""What's wrong, baby doll, with a quick nut?""
Cause you're the one, and you shouldn't be mad
I won't tell your mama if you don't tell your dad
I know he'll be disgusted when he sees your pussy busted
Won't your mama be so mad if she knew I got that ass?
I'm a freak in heat, a dog without warning
My appetite is sex, cause me so horny

[Hook]

[Verse 3: Brother Marquis]
You can say I'm desperate, even call me perverted
But you say I'm a dog when I leave you fucked and deserted
I'll play with your heart just like it's a game
I'll be blowing your mind while you're blowing my brains
I'm just like that man they call Georgie Puddin' Pie
I fuck all the girls and I make 'em cry
I'm like a dog in heat, a freak without warning
I have an appetite for sex, cause me so horny

[Hook]

[Verse 4: Fresh Kid Ice]
It's true, you were a virgin until you met me
I was the first to make you hot and wetty-wetty
You tell your parents that we're going out
Never to the movies, just straight to my house
You said it yourself, you like it like I do
Put your lips on my dick, and suck my asshole too
I'm a freak in heat, a dog without warning
My appetite is sex, cause me so horny

[Outro]
""Fuckie suckie""
""Me fuckie suckie""

",2 Live Crew
1,13,13,Kwame,The Rhythm,14,1989-11-04,"

Ladies and gentlemen
The Kit-Kat Club is proud to present
Something new, something different
So would you please give a warm welcome to
The Rhythm

Well I came here for something funky to happen
Is this Christmas cuz everybody's rappin
You better get sparked by the song that I sing
Although my name ain't Martin Luther
But I'm considered the king
Yo, my beats pumped by the mic I clamp
I don't need an amplifier
My brain is the amp
I got the beats to make you tingle
Make your body mingle
Like you got the fever for the flavor of a Pringle
Weak I say not so
I'm just like Picasso
A pioneer
I am here
Ask me how I got so fly
Any sense that I can give 'em
A New Beginning Stevie-o
And my dope rythm
I sent the Lord master give a mental harm
My sole chief belief is that Islam
My beats pumped
So let it grab ya
I got a trick but my name ain't Ali-Baba
So open Sesame
Neva' heard the best of me
Betcha all the people intheplaceiswacknowlet'ssee
It's a New Beginning, my name Kwame
And if you didn't know I could tell you that I'm a
Mellow cool brotha
Slicker than oil
Rap get so hot it makes the spit boil
The Rhythm

Not the average rapper
The K is more
Rhymes like the thunderbolts of the mighty Thor
Be goin' wit' yourself
Cuz I can conquer boy
I break MCs
Like a Tonka toy
Smooth, suave, savoir faire, debonair
Come in the party yeah I see you stop and stare
To hear the man to only have yo hand shook
You dress GQ to me you got The Jordache Look
Cuz I'm the mystical
Rap is polyphystical
Ask about Kwame
Hey say he is a cool fella
He's always mellow
He's neva high-stung spark
When the mic is near him
It cleva I run smooth like Moet
Recite just like a poet
Ain't my slam oh yeah I know it
Cuz when I'm on the mic while boys say oh golly
Slick on my tip like the hip on Polygrip
I go cameo be on the Grammy show
I be sleek as a sheik I'll freak any ho
In the panty hose pumping clothes
Yo my rhymes slam well I suppose cuz
I'm might meander Hmm... throw a shenanigan
To write a fresh rhyme you know I can again
Cuz I destroy bust 'em like a hemorrhoid
Strong like a steroid avoid the Noid
The Rhythm

The black can take a rap the M A X
And as I step in the party that's when they ask
For me to get on strong no fear like a gladiator
Turn on steam up MCs like a radiator
Play 'em all out executioner style
Speak my peace just release refusing to smile
This is serious though I rap a little humor
But still MCs I hear assume I could neva
Bust a fat rap twice
And at that price
On any mic you gave me I got nice
I push a pull up a sit up get up I'm fed up
Shut ya lip up and let's go head up
Poisonous as venom no mistakes in 'em
Gucci on silk you got Vasco in denim
No my name ain't Taco, Emilio or Paco
But Kwame boy and I got yo
Chick on the side cuz she sweatin' my tip
Gave a peck on the neck just to wetten my lip
I don't drop my pants for no Raggedy Anns
Just to pass up a chance on a kids romance
I should have blown this mic
Like I said I might
Got the force of 20 men like a Jedi knight
And
It's kinda hard for me not to do it slow
So
I gotta go
The Rhythm

",Kwame
2,15,15,Redhead Kingpin & The F.B.I.,Do The Right Thing,16,1989-11-04,NaN,NaN
3,16,16,High Performance,Do You Really Wanna Party?,17,1989-11-04,NaN,NaN
4,17,17,3rd Bass,Steppin' Into The A.M.,18,1989-11-04,"

*sound of clocks ringing*

[Verse One: MC Serch]
Ready in the intro, cue up the Serch-lite
Point us to the center stage (I'll grab the first mic)
Projectin the voice with this mic that I'm cuffin
You ain't my nucka, SUCKER I'm snuffin
The word of the 3rd stands true, so no panickin
(Man verse man) you freeze up like a mannequin
Petrol, you let go, the wax for the new jacks
To dwell upon you're steppin on the trigger as the tune smacks
(Square in the butt) Pete gave me the cue
So I'mma put up or shut up until my jam is through
But for now I wanna freak em, so I'll embark
To spark your mission posse, til way past dark
(Don't park there's no standin) or I'll play the five-oh
You don't stop movin until the Serch says so
To keep the tribe open, shootin out to play em
Three the hard way'll keep you steppin' to the A.M

[Beastie Boys samples playing]
(At the sound of the tone, the time will be 1 A.M.)

[Verse Two: Pete Nice]
My mind has a question, I respond
To a silver domed microphone (one step beyond)
Straight to eighty-eight to the curves of the 90's
I'm universal, I set a line free
Behind me, the three the hard way, the jackpot
(Awaitin Satan's, tryin to take cheap shots)
We groove crowds, the three stand proud
The brothers round the way sit down and say
(How'd you do this?) Ludicrous rhythm of rhyme
Anticipate like a bottle of Heinz.. KETCHUP
(No catch up!) Cause you fell behind
I'm steppin to the A.M. -- dickin down swine
Pete Nice skims over lyrics, I pick em
Strong and long, you're wrong, I stick em
(He's the law with the sword) with my cable swingin
(Like _The Pit or the Pendulum_) Pete Nice bringin
The sunrise with no lies, legitimate (and you despise)
Envy this MC's magnitude (so realize)
The MC emceed (The DJ deejayed em)
Until the next time I keep you steppin' to the A.M

[Sample]

[Verse Three: MC Serch]
No weight on the felt plate, deep bass below rise
Needle torture groove, move the record til the wack stride
(Schoolin the swine on the strength of my vocab)
Bet you wonder you're a goner
(You're thinkin that you had)
Lyrics to the A.M. but the house needs a swinger
You st-st-st-st-stutter, but I'm a stinger
(My rhymes so potent, I wrote em and it's evident)
You're just a stunt, seekin a settlement
The lyrical line (The artical original)
Afflict like a convict, I ain't no criminal
Scheamin on a cable or slobbin the knob
You played me like a foul ball
(How you livin Hobbes?!?!!)
Now groove into the A.M., the master spoon feedin
Out a jumper, you're bumpin a freak while I'm G'n
Peter let the record spin (Serch'll get a second wind)
MOTIVATE THE CROWD, til it's steppin' to the A.M

[Sample]

[Verse Four: Pete Nice]
I slide swiftly, keep a brother steppin
(loungin, strength in my throat)
Sweatin as you get hit with the rhythm
My lines sustain like a crane, so uplift them
(slow and smooth) Flowin like fluid
The mass did worship the lyrics the three did
(amid all crisis) Drop it like a guillotine
(You're moist) fearing the voice of the rhyme fiend
Scene is zipped, Pete Nice is your worst dream
Fulfilled your illed I thrilled (I heard a LOUD scream)
My mind is cued, so I run down a menu
That downgrades the weak as my lyrics tend to
(the needs of a shaker, sweatin to the point of exhaust)
So listen to the mission horse
Blinded by the science, my mind starts flexin
Sexin down females to the A.M., perplexin
A complex reflex (you wonder if we slumber)
The three don't sleep (Aiyyo Pete Nice take em under!)
Steppin to the A.M., I'm steppin to the mic
To snatch up and smash up the club until daylight!

",3rd Bass
5,18,18,Run-D.M.C.,Pause,19,1989-11-04,"

Artist: Run-D.M.C
Album:  Back From Hell
Song:   Pause

Afros.... yeahhh
AFROS!  Yeahhh
Brothers be out there doin crack... NOOOOOOO
They be doin dope... NOOOOOOO
They be gangbangin!  NOOOOOOO
All them brothers need to just
Pause

Yeah I'm with that
Here comes the Afros, and the forty ounce crew
Who say slowly but surely, we gonna turn the mother out
We got more, in store, young ladies on the floor, so cool out
Pause

Intro, which means I start it
In other words, herbs departed
Pause, stop for the cause
Get up, get down, you get yours
Chill, no time to get ill
Word to herb -- yeah it's the will of God
So whassup Hobbes?
Just jock, clock, rock, and don't stop but
Pause

Pause, pause for the cause, get yours
But don't break laws
Quit, quit it, forget it
Pause, say your way with it
Pause, if you did it, admit it
Cause, you shouldn'ta did it
Next time, you think of doin a crime
Pause, and remember this rhyme

Pause for the cause, cause broken laws
Are just like broken jaws
They take a long time to heal
I'm for real, and I know the deal
Look it over, investigate
Evaluate, think!
Life is wrong, and full of flaws
Before you break laws just pause!

I think that worked man (4X)

Pause
Yeah pause, this beat is dope D
I'm tellin you, this beat is dope, just slammin, it's dope

Well if it's dope, I hope it's not crack
Or coke, or nuttin like somethin you EVER smoke
And if they offer you some say NO
Or pause
The reason I wrote this rhyme, is not to climb
But just to tell all mankind
That the use and abuse of drugs -- will what?
Will, blow, your, mind

Like dough makes bread, it goes straight to your head
You're misled and then you're dead
Now that's not fly, when you die
On a high
Like a trip, oooh, you make me sick
Ill, lookin like doo doo on a stick
You don't have to be a vic
Life is like a flick, so pause

Pause, p-pause, pause, p-p-pause

Alright y'all, now that you understand
My man Run never ran
I'm gonna take this mic yo my hand
And hand this to the one man band

Now pause, now pause

I'm Jay, I make up the trey
Now check out the dance that I display
It's called the pause
A new thing, on the dancefloor
First you move, then you stop
Combine the hustle, foxtrot, pop and lock
Put em all together why because
It's called the pause

Slammin, the dance is slammin
Pause, the people are jammin
Stop again, back to the groove
I show you how to move
Pause
It's simple, just like stop and go
You can pause on the fast or slow
Participate, won't you all get down
Here's a solo from my homeboy Stanley Brown

Ahh yeah, I like this R&B shit...
Pause, pause, one more time!
Yeah, do that, do that...
Now pause!

",Run-D.M.C.
6,24,24,Mellow Man Ace,Rhyme Fighter,25,1989-11-04,NaN,NaN
7,25,47,Uzi$ Bros,Nothin' But A Gangster,23,1989-11-11,NaN,NaN
8,26,48,Awesome Dre & The Hard Core Committee,Frankly Speaking,24,1989-11-11,NaN,NaN
9,27,49,Ms. Melodie,"Wake Up, Wake Up!",25,1989-11-11,NaN,NaN
