,Unnamed: 0,Unnamed: 0.1,artist,track,position,date,lyrics,genius_artist
1,13,13,Kwame,The Rhythm,14,1989-11-04,NaN,King Gizzard & The Lizard Wizard
2,15,15,Redhead Kingpin & The F.B.I.,Do The Right Thing,16,1989-11-04,NaN,RuPaul
3,16,16,High Performance,Do You Really Wanna Party?,17,1989-11-04,NaN,Busta Rhymes
4,17,17,3rd Bass,Steppin' Into The A.M.,18,1989-11-04,NaN,Leo Tolstoy
5,18,18,Run-D.M.C.,Pause,19,1989-11-04,NaN,JJ DOOM
6,24,24,Mellow Man Ace,Rhyme Fighter,25,1989-11-04,NaN,Your Old Droog
7,25,47,Uzi$ Bros,Nothin' But A Gangster,23,1989-11-11,NaN,The Anomalies
8,26,48,Awesome Dre & The Hard Core Committee,Frankly Speaking,24,1989-11-11,NaN,RichyR.I.C.H.
9,27,49,Ms. Melodie,"Wake Up, Wake Up!",25,1989-11-11,NaN,Armond WakeUp
10,28,68,The D.O.C.,The D.O.C. & The Doctor,19,1989-11-18,NaN,King of the Dot
11,29,74,Donald-D,F.B.I.,25,1989-11-18,NaN,FBI Director Robert Mueller
12,30,92,Ice Cream Tee,Let's Work,18,1989-11-25,NaN,Ry Cooder
13,31,98,Gucci Crew II,Five Dollar High,24,1989-11-25,NaN,Jon Bellion
14,32,114,Arabian Prince,She's Got A Big Posse,15,1989-12-02,NaN,Johnny Mercer
15,33,124,Body & Soul,Dance To The Drummer's Beat,25,1989-12-02,NaN,The Waking Eyes
16,36,167,Black Rock 'N' Ron,True Feelings,18,1989-12-16,NaN,Rudimental
17,37,168,Steady B,Going Steady,19,1989-12-16,NaN,Teen Beach 2 Cast
18,38,169,Grandmaster Slice & Izzy Chill,Electric Slide,20,1989-12-16,NaN,Mac Miller
19,40,173,The Young And The Restless,Poison Ivy,24,1989-12-16,NaN,The Rolling Stones
20,41,193,Redhead Kingpin & The F.B.I.,Pump It Hottie,19,1989-12-23,NaN,Nitty
21,44,223,Wreckx-N-Effect,Juicy,24,1989-12-30,NaN,Juicy J
22,45,224,Chubb Rock,Stop That Train,25,1989-12-30,NaN,Scotty (Reggae Musician)
23,46,272,Serious-Lee-Fine,Nothing Can Stop Us,23,1990-01-13,NaN,Saint Etienne
25,51,346,Mr. Lee,Get Busy,22,1990-02-03,NaN,Get Busy Committee
26,52,347,Rodney O & Joe Cooley,Say It Loud,23,1990-02-03,NaN,Spermbirds
27,53,348,T-Ski,Pump That Beat,24,1990-02-03,NaN,Henry Fielding
28,54,349,Divine Styler Feat. The Scheme Team,Ain't Sayin' Nothin',25,1990-02-03,NaN,Migos
30,57,393,Def Dames,976-Boom,19,1990-02-17,NaN,Nana
31,58,394,Kwame,Sweet Thing,20,1990-02-17,NaN,Keith Urban
33,63,446,Bobby Jimmy & The Critters,Somebody Farted,22,1990-03-03,NaN,MC Chris
34,64,471,Vicious Beat Posse,Legalized Dope,22,1990-03-10,NaN,P.O.D. (Power of Dollaz)
36,73,549,Kid Sensation,Back To Boom,25,1990-03-31,NaN,Kool Keith
38,76,597,Missy Mist,Gettin' Bass,23,1990-04-14,NaN,Lil Rob
39,77,598,M.C. Shy-D,Don't Sweat Me,24,1990-04-14,NaN,Dru Down
40,78,599,Kenny B Devine,Bass In The Box,25,1990-04-14,NaN,Patrick Drahi
41,81,620,Power Jam Featuring Chill Rob G,The Power,21,1990-04-21,NaN,Lit Genius Editors
42,83,647,Mark Dee,Get A Hold Of Yourself,23,1990-04-28,NaN,K-Rino
43,87,698,Heavy D & The Boyz,Big Tyme,24,1990-05-12,NaN,Big Tymers
44,91,744,Partners In Kryme,Turtle Power,20,1990-05-26,NaN,Teenage Mutant Ninja Turtles
45,92,748,Icey Jaye,It's Just A Girl Thing,24,1990-05-26,NaN,Chris Brown
46,93,749,Audio Two,On The Road Again,25,1990-05-26,NaN,Grateful Dead
49,98,797,Silk Tymes Leather,The Woman In Me,23,1990-06-09,NaN,Reba McEntire
50,101,846,Above The Law,Untouchable,22,1990-06-23,NaN,DJ Absolut
51,102,847,Def Dames,Set It Off,23,1990-06-23,NaN,Nicki Minaj
52,103,848,The UBC,U Treat Me Right,24,1990-06-23,NaN,Ocean
53,109,922,M.C. Smooth,Smooth & Legit,23,1990-07-14,NaN,Curse
55,114,995,M.C. Trouble,(I Wanna) Make You Mine,21,1990-08-04,NaN,DJ SpinKing
56,120,1045,Master Ace,Me And The Biz,21,1990-08-18,NaN,Unknown (Riddle Genius)
57,121,1047,Kid 'N Play,Back To Basix,23,1990-08-18,NaN,Christina Aguilera
59,123,1073,Kyper,Tic-Tac-Toe,24,1990-08-25,NaN,Tic Tac Toe
60,125,1095,Oaktown's 3.5.7,We Like It,21,1990-09-01,NaN,Willie Nelson & Merle Haggard
61,126,1096,Doc Box & B. Fresh,Slow Love,22,1990-09-01,NaN,Nabiha
63,137,1224,Red Bandit Feat. Ricky Bell,Please Don't Cry,25,1990-10-06,NaN,Eminem
64,141,1268,M.C. Hammer,Pray,19,1990-10-20,NaN,Kings Kaleidoscope
65,143,1273,Kid Sensation,Seatown Ballers,24,1990-10-20,NaN,Tropical Black
66,146,1298,Luke Featuring The 2 Live Crew,Mama Juanita,24,1990-10-27,NaN,Pitbull
67,147,1299,Cool C,Life In The Ghetto,25,1990-10-27,NaN,The Dove Shack
68,152,1346,Kwame & A New Beginning,Hai Love,22,1990-11-10,NaN,Colin Hay
69,153,1347,Criminal Nation,Insane,23,1990-11-10,NaN,Korn
70,154,1348,Intelligent Hoodlum,Back To Reality,24,1990-11-10,NaN,Mercury Tide
71,155,1369,Cheba,The Piper,20,1990-11-17,NaN,Peter Sinfield
72,158,1420,Master Ace,Music Man,21,1990-12-01,NaN,Reba McEntire
73,160,1443,Terminator X,Wanna Be Dancin' (Buck-Whylin'),19,1990-12-08,NaN,Immortal Technique
74,167,1547,2 Bigg M.C.,He's King Of The Hype,23,1991-01-05,NaN,KHB
75,170,1569,Paris,The Devil Made Me Do It,20,1991-01-12,NaN,Apparatus
76,174,1599,Brand Nubian,Wake Up,25,1991-01-19,NaN,Nemir
77,175,1624,T.D.C.,Keep Groovin',25,1991-01-26,NaN,HEIZE
78,176,1645,Grandaddy I.U.,Something New,21,1991-02-02,NaN,Secret Weapons
79,180,1674,Poison Clan,Dance All Night,25,1991-02-09,NaN,God
80,184,1723,Son Of Bazerk/No Self Control,Change The Style,24,1991-02-23,NaN,Wildcard
81,185,1724,2 Black 2 Strong MMG,Burn Baby Burn,25,1991-02-23,NaN,MercyMe
84,193,1799,M.C. Jr. Cas,Wild Side,25,1991-03-16,NaN,Marvin Gaye
85,195,1821,Vicious Base Feat. D.J. Magic Mike,It's Automatic,22,1991-03-23,NaN,Shinedown
86,196,1845,Redhead Kingpin,All About Red,21,1991-03-30,NaN,Esham
87,198,1849,Mario,Whip It Baby,25,1991-03-30,NaN,Dazz Band
91,204,1921,Run-D.M.C.,Faces,22,1991-04-20,NaN,Juicy J
92,205,1922,ARB,Crank It Up,23,1991-04-20,NaN,Peter Brown
94,208,1970,Terminator X,Homey Don't Play Dat,21,1991-05-04,NaN,Esham
95,209,1972,Hansoul,Imagination,23,1991-05-04,NaN,Karmin
96,211,1974,K-9 Posse,Get Wild Go Crazy,25,1991-05-04,NaN,The Cheetah Girls
98,214,1998,Craig-G,U-R-Not The 1,24,1991-05-11,NaN,Denny Lanez
99,215,2023,L.A. Posse,Countdown,24,1991-05-18,NaN,SiriusXM U
100,216,2044,MC Sway & DJ King Tech,Follow 4 Now,20,1991-05-25,NaN,Snow Patrol
101,217,2049,Fonke Socialistiks,You Are My Heaven,25,1991-05-25,NaN,Mapache
102,218,2066,Larry Larr,"Larry, That's What They Call Me",17,1991-06-01,NaN,Lawren
103,222,2074,Definition Of Sound,Now Is Tomorrow,25,1991-06-01,NaN,LOST
104,226,2124,Buffalo Soldiers,Playing Your Game,25,1991-06-15,NaN,AC/DC
105,229,2147,The Dogs Feat. Disco Rick,Do The Nasty Dance,23,1991-06-22,NaN,Marley Marl
106,232,2172,Grandaddy I.U.,Sugar Free,23,1991-06-29,NaN,Sugarfree
107,236,2196,Rodney O & Joe Cooley,Get Ready To Roll,22,1991-07-06,NaN,The Jibster
108,237,2197,Son Of Bazerk,"Bang (Get Down, Get Down)",23,1991-07-06,NaN,DJ Screw
109,241,2224,Jibri Wise One,The House The Dog Built,25,1991-07-13,NaN,Aldous Huxley
110,244,2272,Redhead Kingpin,It's A Love Thang,23,1991-07-27,NaN,Keith Urban
111,245,2273,Fifth Platoon,Party Line,24,1991-07-27,NaN,St. Vincent
112,246,2298,Greyson & Jason,Get Bizzy,24,1991-08-03,NaN,Tech N9ne
113,247,2299,"Sam ""The Beast""",Knock Some Boots,25,1991-08-03,NaN,Ehiorobo
114,248,2316,T.C.F.,If You Wanna Sex Me Up,17,1991-08-10,NaN,KeneddyTheDon
115,250,2324,Young Black Teenagers,Loud And Hard To Hit,25,1991-08-10,NaN,Unknown Author
116,252,2344,Tim Dog,F-ck Compton,20,1991-08-17,NaN,Blowfly
117,254,2347,Justin Warfield,Season Of The Vic,23,1991-08-17,NaN,Thucydides
118,256,2367,Yo-Yo,Ain't Nobody Better,18,1991-08-24,NaN,Boosie Badazz
119,257,2372,Larry Larr,Confused,23,1991-08-24,NaN,Boosie Badazz
120,258,2399,Oaktown's 3.5.7,Turn It Up,25,1991-08-31,NaN,E-40
121,263,2449,2 Kings In A Cipher,Definition Of A King,25,1991-09-14,NaN,Clutch (band)
122,266,2473,Def Jef,Here We Go Again,24,1991-09-21,NaN,Portrait (R&B)
123,267,2492,H.E.A.L.,Heal Yourself,18,1991-09-28,NaN,Fugazi
124,268,2494,UMC's,Blue Cheese,20,1991-09-28,NaN,Young Thug
125,269,2495,The Jaz,A Groove (This Is What U Rap 2),21,1991-09-28,NaN,8Ball
126,272,2520,Yomo & Maulkie,Glory,21,1991-10-05,NaN,Brand New
128,278,2574,F.S. Effect,I Wanna B Ure Lover,25,1991-10-19,NaN,Bure
129,280,2594,D.J. Magic Mike & Madness,You Want Bass,20,1991-10-26,NaN,XV
130,289,2696,Candyman,1-800-Sky-Talk PIN #110279,22,1991-11-23,NaN,NaN
131,290,2698,Poor Righteous Teachers,Shakiyla (JRH),24,1991-11-23,NaN,Mahal
132,291,2718,Jibri Wise One,I'll Be There For You,19,1991-11-30,NaN,Mary J. Blige
133,296,2746,Marky Mark & The Funky Bunch,Wildside,22,1991-12-07,NaN,Marvin Gaye
134,303,2873,Redhead Kingpin & The F.B.I.,Nice & Slow,24,1992-01-11,NaN,Drake
135,304,2874,D.J. Magic Mike & M.C. Madness,Dynamic Duo,25,1992-01-11,NaN,Dynamic Duo
136,311,2923,D-Nice,Time To Flow,24,1992-01-25,NaN,Mystikal
137,320,3015,Shabba Ranks Featuring KRS-1,The Jam,16,1992-02-22,NaN,Rage Against the Machine
138,326,3071,True Culture,"It's So Good, It's Bad",22,1992-03-07,NaN,MicJeezy
139,327,3096,UMC's,One To Grow On,22,1992-03-14,NaN,RZA
140,332,3146,Chi-Ali,Age Ain't Nothin' But A #,22,1992-03-28,NaN,DJ Jazzy Jeff & The Fresh Prince
141,334,3172,Hen G & Evil E,If You Were Mine,23,1992-04-04,NaN,Conway Twitty
143,338,3198,Lil' Shawn,Hickeys On Your Chest,24,1992-04-11,NaN,Andrea Gibson
144,342,3224,Ghetto Girlz,My Man's Playing Tricks On Me,25,1992-04-18,NaN,S.O.
145,345,3249,Sister Souljah,The Hate That Hate Produced,25,1992-04-25,NaN,Paris (Rapper)
146,348,3296,BDP,13 And Good,22,1992-05-09,NaN,John McTiernan
148,351,3322,Doug E. Fresh,Bustin' Out (On Funk),23,1992-05-16,NaN,Twista
150,354,3348,Sylk Smoov,Trick Wit A Good Rap,24,1992-05-23,NaN,Vakill
151,355,3349,The Future Sound,Lady/What's A Bro To Do?,25,1992-05-23,NaN,Mark Twain
153,357,3393,Heavy D & The Boyz,Don't Curse/You Can't See What I See,19,1992-06-06,NaN,Kristin Andreassen
154,358,3397,Penthouse Players Clique,Explanation Of A Playa,23,1992-06-06,NaN,George Eliot
155,359,3398,M.C. Brains,Everybody's Talking About M.C. Brains,24,1992-06-06,NaN,Gringo the MC
156,361,3424,Kid Frost,No Sunshine,25,1992-06-13,NaN,Smaka-G
157,365,3472,Kwame,Nastee,23,1992-06-27,NaN,Onyx
