,Unnamed: 0,Unnamed: 0.1,artist,track,position,date,lyrics
0,0,0,The 2 Live Crew,Me So Horny,1,1989-11-04,
1,13,13,Kwame,The Rhythm,14,1989-11-04,
2,15,15,Redhead Kingpin & The F.B.I.,Do The Right Thing,16,1989-11-04,
3,16,16,High Performance,Do You Really Wanna Party?,17,1989-11-04,
4,17,17,3rd Bass,Steppin' Into The A.M.,18,1989-11-04,
5,18,18,Run-D.M.C.,Pause,19,1989-11-04,
6,24,24,Mellow Man Ace,Rhyme Fighter,25,1989-11-04,
7,25,47,Uzi$ Bros,Nothin' But A Gangster,23,1989-11-11,
8,26,48,Awesome Dre & The Hard Core Committee,Frankly Speaking,24,1989-11-11,
9,27,49,Ms. Melodie,"Wake Up, Wake Up!",25,1989-11-11,
10,28,68,The D.O.C.,The D.O.C. & The Doctor,19,1989-11-18,
11,29,74,Donald-D,F.B.I.,25,1989-11-18,
12,30,92,Ice Cream Tee,Let's Work,18,1989-11-25,
13,31,98,Gucci Crew II,Five Dollar High,24,1989-11-25,
14,32,114,Arabian Prince,She's Got A Big Posse,15,1989-12-02,
15,33,124,Body & Soul,Dance To The Drummer's Beat,25,1989-12-02,
16,36,167,Black Rock 'N' Ron,True Feelings,18,1989-12-16,
17,37,168,Steady B,Going Steady,19,1989-12-16,
18,38,169,Grandmaster Slice & Izzy Chill,Electric Slide,20,1989-12-16,
19,40,173,The Young And The Restless,Poison Ivy,24,1989-12-16,
20,41,193,Redhead Kingpin & The F.B.I.,Pump It Hottie,19,1989-12-23,
21,44,223,Wreckx-N-Effect,Juicy,24,1989-12-30,
22,45,224,Chubb Rock,Stop That Train,25,1989-12-30,
23,46,272,Serious-Lee-Fine,Nothing Can Stop Us,23,1990-01-13,
24,48,298,Queen Latifah Featuring Monie Love,Ladies First,24,1990-01-20,
25,51,346,Mr. Lee,Get Busy,22,1990-02-03,
26,52,347,Rodney O & Joe Cooley,Say It Loud,23,1990-02-03,
27,53,348,T-Ski,Pump That Beat,24,1990-02-03,
28,54,349,Divine Styler Feat. The Scheme Team,Ain't Sayin' Nothin',25,1990-02-03,
29,56,387,The 2 Live Crew,C'mon Babe,13,1990-02-17,
30,57,393,Def Dames,976-Boom,19,1990-02-17,
31,58,394,Kwame,Sweet Thing,20,1990-02-17,
32,62,424,Maestro Fresh-Wes,Let Your Back Bone Slide,25,1990-02-24,
33,63,446,Bobby Jimmy & The Critters,Somebody Farted,22,1990-03-03,
34,64,471,Vicious Beat Posse,Legalized Dope,22,1990-03-10,
35,67,491,MC Lyte & DJ K Rock,"Stop, Look, Listen",17,1990-03-17,
36,73,549,Kid Sensation,Back To Boom,25,1990-03-31,
37,74,572,The 2 Live Crew,The Funk Shop,23,1990-04-07,
38,76,597,Missy Mist,Gettin' Bass,23,1990-04-14,
39,77,598,M.C. Shy-D,Don't Sweat Me,24,1990-04-14,
40,78,599,Kenny B Devine,Bass In The Box,25,1990-04-14,
41,81,620,Power Jam Featuring Chill Rob G,The Power,21,1990-04-21,
42,83,647,Mark Dee,Get A Hold Of Yourself,23,1990-04-28,
43,87,698,Heavy D & The Boyz,Big Tyme,24,1990-05-12,
44,91,744,Partners In Kryme,Turtle Power,20,1990-05-26,
45,92,748,Icey Jaye,It's Just A Girl Thing,24,1990-05-26,
46,93,749,Audio Two,On The Road Again,25,1990-05-26,
47,94,772,David Bowie With Queen Latifah,Fame 90,23,1990-06-02,
48,97,794,Kwame & A New Beginning,Ownlee Eue,20,1990-06-09,
49,98,797,Silk Tymes Leather,The Woman In Me,23,1990-06-09,
50,101,846,Above The Law,Untouchable,22,1990-06-23,
51,102,847,Def Dames,Set It Off,23,1990-06-23,
52,103,848,The UBC,U Treat Me Right,24,1990-06-23,
53,109,922,M.C. Smooth,Smooth & Legit,23,1990-07-14,
54,111,971,Luke Featuring The 2 Live Crew,Banned In The U.S.A.,22,1990-07-28,
