,Unnamed: 0,Unnamed: 0.1,artist,track,position,date,lyrics,genius_artist
2,15,15,Redhead Kingpin & The F.B.I.,Do The Right Thing,16,1989-11-04,NaN,NaN
3,16,16,High Performance,Do You Really Wanna Party?,17,1989-11-04,NaN,NaN
6,24,24,Mellow Man Ace,Rhyme Fighter,25,1989-11-04,NaN,NaN
7,25,47,Uzi$ Bros,Nothin' But A Gangster,23,1989-11-11,NaN,NaN
8,26,48,Awesome Dre & The Hard Core Committee,Frankly Speaking,24,1989-11-11,NaN,NaN
9,27,49,Ms. Melodie,"Wake Up, Wake Up!",25,1989-11-11,NaN,NaN
10,28,68,The D.O.C.,The D.O.C. & The Doctor,19,1989-11-18,NaN,NaN
12,30,92,Ice Cream Tee,Let's Work,18,1989-11-25,NaN,NaN
13,31,98,Gucci Crew II,Five Dollar High,24,1989-11-25,NaN,NaN
14,32,114,Arabian Prince,She's Got A Big Posse,15,1989-12-02,NaN,NaN
15,33,124,Body & Soul,Dance To The Drummer's Beat,25,1989-12-02,NaN,NaN
16,36,167,Black Rock 'N' Ron,True Feelings,18,1989-12-16,NaN,NaN
17,37,168,Steady B,Going Steady,19,1989-12-16,NaN,NaN
18,38,169,Grandmaster Slice & Izzy Chill,Electric Slide,20,1989-12-16,NaN,NaN
19,40,173,The Young And The Restless,Poison Ivy,24,1989-12-16,NaN,NaN
20,41,193,Redhead Kingpin & The F.B.I.,Pump It Hottie,19,1989-12-23,NaN,NaN
21,44,223,Wreckx-N-Effect,Juicy,24,1989-12-30,NaN,NaN
22,45,224,Chubb Rock,Stop That Train,25,1989-12-30,NaN,NaN
23,46,272,Serious-Lee-Fine,Nothing Can Stop Us,23,1990-01-13,NaN,NaN
25,51,346,Mr. Lee,Get Busy,22,1990-02-03,NaN,NaN
26,52,347,Rodney O & Joe Cooley,Say It Loud,23,1990-02-03,NaN,NaN
27,53,348,T-Ski,Pump That Beat,24,1990-02-03,NaN,NaN
28,54,349,Divine Styler Feat. The Scheme Team,Ain't Sayin' Nothin',25,1990-02-03,NaN,NaN
30,57,393,Def Dames,976-Boom,19,1990-02-17,NaN,NaN
31,58,394,Kwame,Sweet Thing,20,1990-02-17,NaN,NaN
34,64,471,Vicious Beat Posse,Legalized Dope,22,1990-03-10,NaN,NaN
36,73,549,Kid Sensation,Back To Boom,25,1990-03-31,NaN,NaN
38,76,597,Missy Mist,Gettin' Bass,23,1990-04-14,NaN,NaN
39,77,598,M.C. Shy-D,Don't Sweat Me,24,1990-04-14,NaN,NaN
40,78,599,Kenny B Devine,Bass In The Box,25,1990-04-14,NaN,NaN
41,81,620,Power Jam Featuring Chill Rob G,The Power,21,1990-04-21,NaN,NaN
42,83,647,Mark Dee,Get A Hold Of Yourself,23,1990-04-28,NaN,NaN
43,87,698,Heavy D & The Boyz,Big Tyme,24,1990-05-12,NaN,NaN
44,91,744,Partners In Kryme,Turtle Power,20,1990-05-26,NaN,NaN
45,92,748,Icey Jaye,It's Just A Girl Thing,24,1990-05-26,NaN,NaN
46,93,749,Audio Two,On The Road Again,25,1990-05-26,NaN,NaN
49,98,797,Silk Tymes Leather,The Woman In Me,23,1990-06-09,NaN,NaN
51,102,847,Def Dames,Set It Off,23,1990-06-23,NaN,NaN
52,103,848,The UBC,U Treat Me Right,24,1990-06-23,NaN,NaN
53,109,922,M.C. Smooth,Smooth & Legit,23,1990-07-14,NaN,NaN
55,114,995,M.C. Trouble,(I Wanna) Make You Mine,21,1990-08-04,NaN,NaN
56,120,1045,Master Ace,Me And The Biz,21,1990-08-18,NaN,NaN
57,121,1047,Kid 'N Play,Back To Basix,23,1990-08-18,NaN,NaN
60,125,1095,Oaktown's 3.5.7,We Like It,21,1990-09-01,NaN,NaN
61,126,1096,Doc Box & B. Fresh,Slow Love,22,1990-09-01,NaN,NaN
63,137,1224,Red Bandit Feat. Ricky Bell,Please Don't Cry,25,1990-10-06,NaN,NaN
64,141,1268,M.C. Hammer,Pray,19,1990-10-20,NaN,NaN
65,143,1273,Kid Sensation,Seatown Ballers,24,1990-10-20,NaN,NaN
66,146,1298,Luke Featuring The 2 Live Crew,Mama Juanita,24,1990-10-27,NaN,NaN
67,147,1299,Cool C,Life In The Ghetto,25,1990-10-27,NaN,NaN
68,152,1346,Kwame & A New Beginning,Hai Love,22,1990-11-10,NaN,NaN
69,153,1347,Criminal Nation,Insane,23,1990-11-10,NaN,NaN
70,154,1348,Intelligent Hoodlum,Back To Reality,24,1990-11-10,NaN,NaN
71,155,1369,Cheba,The Piper,20,1990-11-17,NaN,NaN
72,158,1420,Master Ace,Music Man,21,1990-12-01,NaN,NaN
73,160,1443,Terminator X,Wanna Be Dancin' (Buck-Whylin'),19,1990-12-08,NaN,NaN
74,167,1547,2 Bigg M.C.,He's King Of The Hype,23,1991-01-05,NaN,NaN
77,175,1624,T.D.C.,Keep Groovin',25,1991-01-26,NaN,NaN
78,176,1645,Grandaddy I.U.,Something New,21,1991-02-02,NaN,NaN
80,184,1723,Son Of Bazerk/No Self Control,Change The Style,24,1991-02-23,NaN,NaN
81,185,1724,2 Black 2 Strong MMG,Burn Baby Burn,25,1991-02-23,NaN,NaN
84,193,1799,M.C. Jr. Cas,Wild Side,25,1991-03-16,NaN,NaN
86,196,1845,Redhead Kingpin,All About Red,21,1991-03-30,NaN,NaN
87,198,1849,Mario,Whip It Baby,25,1991-03-30,NaN,NaN
91,204,1921,Run-D.M.C.,Faces,22,1991-04-20,NaN,NaN
92,205,1922,ARB,Crank It Up,23,1991-04-20,NaN,NaN
94,208,1970,Terminator X,Homey Don't Play Dat,21,1991-05-04,NaN,NaN
95,209,1972,Hansoul,Imagination,23,1991-05-04,NaN,NaN
96,211,1974,K-9 Posse,Get Wild Go Crazy,25,1991-05-04,NaN,NaN
98,214,1998,Craig-G,U-R-Not The 1,24,1991-05-11,NaN,NaN
99,215,2023,L.A. Posse,Countdown,24,1991-05-18,NaN,NaN
100,216,2044,MC Sway & DJ King Tech,Follow 4 Now,20,1991-05-25,NaN,NaN
101,217,2049,Fonke Socialistiks,You Are My Heaven,25,1991-05-25,NaN,NaN
102,218,2066,Larry Larr,"Larry, That's What They Call Me",17,1991-06-01,NaN,NaN
103,222,2074,Definition Of Sound,Now Is Tomorrow,25,1991-06-01,NaN,NaN
104,226,2124,Buffalo Soldiers,Playing Your Game,25,1991-06-15,NaN,NaN
105,229,2147,The Dogs Feat. Disco Rick,Do The Nasty Dance,23,1991-06-22,NaN,NaN
106,232,2172,Grandaddy I.U.,Sugar Free,23,1991-06-29,NaN,NaN
107,236,2196,Rodney O & Joe Cooley,Get Ready To Roll,22,1991-07-06,NaN,NaN
108,237,2197,Son Of Bazerk,"Bang (Get Down, Get Down)",23,1991-07-06,NaN,NaN
109,241,2224,Jibri Wise One,The House The Dog Built,25,1991-07-13,NaN,NaN
110,244,2272,Redhead Kingpin,It's A Love Thang,23,1991-07-27,NaN,NaN
111,245,2273,Fifth Platoon,Party Line,24,1991-07-27,NaN,NaN
