,Unnamed: 0.1,artist,track,position,date,lyrics
0,0,The 2 Live Crew,Me So Horny,1,1989-11-04,
1,1,Young M.C.,Bust A Move,2,1989-11-04,"

[Intro]
Bust it

[Verse 1]
This here's a jam for all the fellas
Tryin' to do what those ladies tell us
Get shot down cause ya overzealous
Play hard to get females get jealous
Okay smarty, go to a party
Girls are scantily clad and showin' body
A chick walks by you wish you could sex her
But you're standing on the wall like you was Poindexter
Next day's function, high class luncheon
Food is served and you're stone-cold munchin'
Music comes on people start to dance
But then you ate so much you nearly split your pants
A girl starts walking, guys start gawking
Sits down next to you and starts talking
Says she wants to dance cause she likes to groove
So come on fatso and just bust a move

Just bust a move

[Verse 2]
You're on a mission and your wishin'
Someone could cure your lonely condition
Lookin' for love in all the wrong places
No fine girls just ugly faces
From frustration, first inclination
Is to become a monk and leave the situation
But every dark tunnel has a light of hope
So don't hang yourself, with a celibate rope
New movie's showin', so you're goin'
Could care less about the five you're blowin'
Theater gets dark just to start the show
Then ya spot a fine woman sittin' in your row
She's dressed in yellow, she says ""Hello
Come sit next to me you fine fellow""
You run over there without a second to lose
And what comes next? Hey, bust a move

[Hook]
You want it, you got it
You want it, baby you got it (Just bust a move)
You want it, you got it
You want it, baby you got it
Yeah

[Verse 3]
In the city, ladies look pretty
Guys tell jokes so they can seem witty
Tell a funny joke just to get some play
Then you try to make a move and she says, ""No way""
Girls are fakin', goodness sakin'
They want a man who brings home the bacon
Got no money and you got no car
Then you got no woman and there you are
Some girls are sadistic, materialistic
Lookin' for a man makes them opportunistic
They're lyin' on the beach perpetrating a tan
So that a brother with money can be their man
So on the beach you're strollin', real high rollin'
Everything you have is yours and not stolen
A girl runs up with somethin' to prove
So don't just stand there, bust a move

[Hook]
You want it, you got it
You want it, baby you got it (Just bust a move)
You want it, you got it
You want it, baby you got it
Yeah

[Interlude]
Break it down for me fellas

[Verse 4]
Your best friend Harry, has a brother Larry
In five days from now he's gonna marry
He's hopin' you can make it there if you can
Cause in the ceremony you'll be the best man
You say, ""neat-o"", check your libido
And roll to the church in your new tuxedo
The bride walks down just to start the wedding
And there's one more girl you won't be getting
So you start thinkin' then you start blinking
A bridesmaid looks and thinks that you're winking
She thinks you're kinda cute so she winks back
And now your feelin' really firm cause the girl is stacked
Reception's jumpin' faces pumpin'
Look at the girl and your heart starts thumpin'
Says she wanna dance to a different groove
Now you know what to do, so you bust a move

[Hook]
You want it, you got it
You want it, baby you got it (Just bust a move)
You want it, you got it
You want it, baby you got it (move it boy)
Yeah

"
2,2,Big Daddy Kane,Smooth Operator,3,1989-11-04,"

[Verse 1]
Well excuse me, take a few minutes, to mellow out
Big Daddy Kane is on the mic and I'mma tell about
A minimum length, of rhymes of strength
And power, so listen to the man of the hour
Flow and go to a slow tempo and you know
Sing ho, swing low, then yo the show
Will go on, as I perform
Transformin on stage like a Decepticon
But I'm not animated like a cartoon
I'm for real, shootin lyrics like a harpoon
Across the crowd, the listeners, the spectators
So let's groove with the smooth operator

[Hook]
""Cause I'm so smooth...""

The B-I-G, D-A-double-D-Y-K-A-N-E
I'm good and plenty, servin many and any
Competition, wishin' for an expedition
I'm straight up dissin' and dismissin', listen
Rappers act so wild, and love to profile
Frontin hard but ain't got no style
I give nightmares to those who compete
Freddy Kreuger, walkin' on Kane Street
Confuse and lose abuse and bruise the crews
Who choose to use my name wrong, they pay dues
Destruction from the exterminator
But in a calm manner, cause I'm a smooth operator

[Hook]
""Cause I'm so smooth...""

[Verse 2]
Now girls step up to this
One simple kiss, and it's over, Miss
Sold to nice dreamers, high as the price seem
Girlfriend, you been scooped like ice cream
So just swing or fling a gathering, try to cling
Cause It's a Big Daddy Thing
And I'm lovin em right, word is bond
So just play Marvin Gaye and Let's Get It On
I make it real good like Dr. Feelgood
To make sure that my point is understood
That when it comes to this there's none greater
Sincerely yours... the smooth operator

[Hook]
""Cause I'm so smooth...""

[Verse 3]
Now ain't that the pot callin' the kettle black
Sayin' I'm a new jack, you need to be smacked
The smooth way I say 'em and the way I display 'em
To make them sound different in a way that's gifted
And hey I'm, makin sure every lyric is done fine
And I make one line, bright as the sunshine
Attack you like Robitussin on a cough
If you know like I know -- step off
Competition, I'mma get rid of
You can't get a bit of, so just consider
A break or rest, vacation, hibernation
And make way for my smooth operation
I'm a smooth operator

[Hook]
""Cause I'm so smooth...""

Ahhhhh yeahhh, and you don't stop
Genuine for '89
And I still ain't half-steppin, peace!

"
3,3,MC Lyte,Cha Cha Cha,4,1989-11-04,"

[Kick this one here for me and my DJ]

You can cha-cha-cha to this Mardis Gras
I'm the dopest female that you've heard thus far
And I do get better, the voice gets wetter
Nobody gets hurt (as long as you let her)
Do my thing with an '89 swing
The dopeness I write, I guarantee delight
To the hip-hop maniac, the Uptown brainiac
In full effect, MC Lyte is back
And better than before as if that was possible
My competition, you'll find them in the hospital
Visiting time, I think it's on a Sunday
But notice they only get one day to shine
The rest of the week is mine
And I'll blind you with the science that the others have yet to find
So come along and I'll lead you the right way
Just clap your hands to the words I say, come on...

[Kick this one here for me and my DJ]

I've got the power to spread out and devour
At the same time I'll eat you up with a rhyme
But I'll let you slide cuz you accidently hopped on the wrong side
Now come on, that's suicide
Hypothetically speaking
Ok, let's say you didn't know what you were doing
You're new in town, and you're looking around
For another name to ruin, and it's me that you're pursuing?
Well well well, I'll be damned
I might as well tell you who I am
I am the capital L-Y-T-E
And it's shocking I'm the one you're mocking
Oh yes, I've been watching you watching me
And like the fat on your back it's plain to see
That you're a wannabe, but you can't be what you're not
So you better start living with what you got

[Kick this one here for me and my DJ]

Yeah, DJ K-Rock when you hear a scratch
Now it's time to kick a rhyme out the batch
And you're the receiver eager as a beaver
Time to convert the non-believer
That I'm a roadrunner leaving you in the dust
I can adjust to the times and at times I might just get quicker
Than the ticker of your pacemaker
More tender than a roni but harder than a jawbreaker
So don't ever second guess me
And if you're wondering who could the best be
Think a second and recollect the worst whipping you ever had yet
And I'll bet that I did it
My fingerprints are still on you
How many times I gotta warn you
About the light? It'll blind your sight
But the rhythm will still guide you through the night

[Kick this tip...
Kick this one here for me and my DJ]

"
4,4,Kool Moe Dee,I Go To Work,5,1989-11-04,"

[Verse 1]
I go to work like a doctor
When I rock the mic, you got to like
The way I operate
I make miracles happen just from rappin'
I'm so lyrically potent and I'm flowin'
And explodin'
On the scene mean
I got the potential
To make you go then chill
I got the credentials that are so essential
To make a rhyme send chills
Then you know I will fulfill
To make a couple of mill
As I build a guild for all the rappers with skill
And kill the weak rappers with no thrills
Hang 'em in effigy
If he's a sucker, hang 'em to the left of me
Cause my right hand man is my mic stand and
The microphone that I own and my game plan
Is keeping at a steady pace
Ain't no reason to rush, it ain't no race
I'ma hit the top just when I wanna
And it's a matter of time and I'm gonna
Cause I know when to go 'head into
The classic Moe Dee rap That sent ya
Runnin' around, holdin' ya head
Asking your homeboy ""Yo man, you hear what he said?""
Another funky rhythm
Look at your man and give him a high five
Cause I'm live
Runnin' around with him
Telling everybody hanging out on the block
It's time to wake up and check the clock
Punch it
I go to work

[Hook]
I go to work
I go to work

[Verse 2]
I go to work like an architect
I build a rhyme sometimes it climbs so erect
Skyscrapers look like atoms
Cars electrons rollin' in patterns
Writing out word after word
With each letter, it becomes visibly better
Cause my foundation built a nation of rappers
And after I came off vacation, I came to roam the land I own
And stand alone on the microphone, Daddy's home
Open the door playtime is over
Time to go to work and show the suckers in the place who run their face
A taste of the bass and who's the ace
Start the race, I'm coming in first
With each verse I build a curse
So rappers can't capture Moe Dee's rapture
After I have ya, I have to slap ya
Senseless with  endless rhymes don't pretend this
Is anything short of stupendous
And when this rhyme is done
Your mind will become
So trapped in the rap you'll lust another one
But you gotta wait; it takes time
I don't write, I build a rhyme
Draw the plans, draft the diagrams
An architect in effect and it slams
And if it's weak when I'm done
Renovate and build another one
I go to work

[Hook]
I go to work
I go to work

[Verse 3]
I go to work, like a boxer
Train the brain and aim to outfox ya
Like a punch my rhyme rocks ya
Some times it knocks ya  so hard it stops ya
Dead in your tracks, so power packed
Before you can react, you're flat on your back
Down for the count, get up and dismount
'Cause I'm coming with an endless amount
Of rhymes in a hurry like a flurry
A collage to camouflage the power punch but don't worry
Knowledge is an antidote, I got hand of smoke
Writing at the speed of light with insight I wrote
Rhymes at a level, so you can't relate
Unless you're intelligent, so stay awake
Sleepwalkers, slick talkers
This time a native New Yorker's
Riding a crescendo wave to save the mental
State of the fan so he can understand my pencil
Writing my rhymes in its highest form
I'm a drop it on ya like a bomb
When it explodes I'll blow up
A few casualties but so what
If you're slow, you blow
You know you go, I flow
I throw all pro, I go to work

[Interlude]

[Verse 4]
To say rap is not work is ludicrous
Whoever said it must be new to this
When you hear me, you'll compare me
To a prophet for profit, not merely
Putting words together for recreation
Each rhyme's a dissertation
You wanna know my occupation?
I get paid to rock the nation
I go to work

[Hook]

"
5,5,Wreckx-N-Effect,New Jack Swing,6,1989-11-04,"

Yo Wreckx-N-Effect
In full effect!
(""Word up!"")
(""Know we need it. Know we need it."")
(""Give it to me. Give it, give it"")

[Verse 1: Aqil]
It's the New Jack Swing
Yes, it's something funky that you can cling
All you gotta do is c'mon and sing
Word for word, every lyric that I bring
And if you surely swing your body
When you step in cool inside a party
Watching all the girls just pumping like hotties
They have parts that look better than Ferraris
So I had to try these
Dancing, with this girl, on my luck
I was chancing, hoping she was the type for romancing
But my rap needed a little enhancing
Because this girlie wasn't answering
Nothing I said, I started getting fed and turning red
Then, I told her just a bit about Ted
She gave a wink and started to think
But didn't believe a thing about the New Jack Swing

[Chorus]
(""You got to get down, you got to get down""
""You got to get down, down, down, down"")
Didn't believe a thing about the New Jack Swing
(""You got to get down, you got to get down""
""You got to get down, down, down, down"")
(""Give it, give it, give it to me"")

[Verse 2: Teddy Riley]
1-2-3
I made the New Jack Swing
Yes, T.R., is my name
Making you dance to my thing
Is the way I entertain, baby
I make the beats you like
Yes, that's right, it's outta sight
All my beats are very hype
Yes, G.R. is moving it, right?
I got Keith Sweat, Heavy D
Today, Moe Dee
B. Sure, and my man Bobby Brown
I got Zan the Man, Redhead
Boy George, James and
Deja, and my homeboys Guy
And you got to get fly

[Chorus]

[Verse 3: Aqil]
Back to the matter
The New Jack Swing is the sound that can flatter
Any other sound around town doesn't give the
Same type of feeling that this one delivers
So your body shivers, so bad
Some dope beat medicine you wish you had
Dipping your feelings from glad to sad
But you're not getting a thing
So just chill and get whipped by the New Jack Swing

[Chorus]

"
6,6,M.C. Hammer,They Put Me In The Mix,7,1989-11-04,"

[Hammer]
Yo! My Lone Mixer
You ready?
Bust it!

{*Lone Mixer samples and scratches for 1:02*}

""Scratchin... scra-scra... scratchin""
Uhh, uhh, uhh uhh uhh uhh

[Hammer]
They put me in the mix
They put me in the mix
They put me in the mix
They put me in the mix

[scratched]
""Here's something"" .. ""FRESH"" .. ""What is it?""
""Can I count it off?"" ""Can I count it off?""
""Can I?"" ""Can I?"" ""Can I?"" ""Can I?"" ""Can I?""
""Can I count it off?"" ""Go ahead"" ""1-2-3!""

[Hammer]
They put me in the mix
They put me in the mix
They put me in the mix
They put me in the mix

Uhh, uhh, uhh uhh uhh uhh

""AOWWW!"" .. ""Just get off the wall"" {*3X*}

""AOWWW!""

""Still busy"" {*4X*}

[Hammer]
They put me in the mix
They put me in the mix
They put me in the mix
They put me in the mix

"
7,7,Biz Markie,Just A Friend,8,1989-11-04,"

[Intro]
Have you ever met a girl that you tried to date
But a year to make love she wanted you to wait
Let me tell ya a story of my situation
I was talkin' to this girl from the U.S. nation

[Verse 1]
The way that I met her was on tour at a concert
She had long hair and a short miniskirt
I just got onstage drippin', pourin' with sweat
I was walkin' through the crowd and guess who I met
I whispered in her ear, ""Come to the picture booth
So I can ask you some questions to see if you are a hundred proof""
I asked her her name, she said blah-blah-blah
She had 9/10 pants and a very big bra
I took a couple of flicks and she was enthused
I said, ""How do you like the show?""
She said, ""I was very amused""
I started throwin' bass, she started throwin' back mid-range
But when I sprung the question, she acted kind of strange
Then when I asked, ""Do ya have a man,"" she tried to pretend
She said, ""No I don't, I only have a friend""
Come on, I'm not even goin' for it
This is what I'm goin' sing

[Hook]
You, you got what I need but you say he's just a friend
And you say he's just a friend, oh baby
You got what I need but you say he's just a friend
But you say he's just a friend, oh baby
You got what I need but you say he's just a friend
But you say he's just a friend

[Verse 2]
So I took blah-blah's word for it at this time
I thought just havin' a friend couldn't be no crime
Cause I have friends and that's a fact
Like Agnes, Agatha, Germaine, and Jack
Forget about that, let's go into the story
About a girl named blah-blah-blah that adored me
So we started talkin', getttin' familiar
Spendin' a lot of time so we can build up
A relationship or some understanding
How it's gonna be in the future we was plannin'
Everything sounded so dandy and sweet
I had no idea I was in for a treat
After this was established, everything was cool
The tour was over and she went back to school
I called every day to see how she was doin'
Everytime that I called her it seemed somethin' was brewing'
I called her on my dime, picked up, and then I called again
I said, ""Yo, who was that?"" ""Oh, he's just a friend""
Don't gimme that, don't ever gimme that
Jus' bust this

[Hook]
You, you got what I need but you say he's just a friend
And you say he's just a friend, oh baby
You got what I need but you say he's just a friend
But you say he's just a friend, oh baby
You got what I need but you say he's just a friend
But you say he's just a friend

[Verse 3]
So I came to her college on a surprise visit
To see my girl that was so exquisite
It was a school day, I knew she was there
The first semester of the school year
I went to a gate to ask where was her dorm
This guy made me fill out a visitor's form
He told me where it was and I was on my way
To see my baby doll, I was happy to say
I arrived in front of the dormitory
""Yo, could you tell me where is door three?""
They showed me where it was for the moment
I didn't know I was in for such an event
So I came to her room and opened the door
Oh, snap! Guess what I saw?
A fella tongue-kissin' my girl in her mouth
I was so in shock my heart went down south
So please listen to the message that I send
Don't ever talk to a girl who says she just has a friend

"
8,8,The D.O.C.,It's Funky Enough,9,1989-11-04,"

[Intro]
Y'all ready for this
Rastafara Sonna Madda Fa
Drop the lyrics, a'ight

[Verse 1]
One, and here comes the two to the three and four
Then I drop the beat I have in store
Lay dynamics on the top like a rug
Make it sound smooth and later make a dub
Enunciate well, so that you can tell
I am not illiterate, no not even a little bit
Nothin' like an idiot, get it
You want the record, cool, I'm with it
Let the rhythm take you, shake it cause it makes you
As I turn the knob of the door you escape through
Go in like a knot, don't be a puff
And I let it play cause Dre's getting funky enough

[Hook]
It's funky, it's funky [X4]
Dre makes the beats so fun-fun-funky
It's gettin' funky, it's gettin' funky [X4]
Watch the smooth lyrics that take place

[Verse 2]
If you want another reason why it must be funky
Yo, I am not a jackass meanin' not a donkey
So I will play the game like it should be played
Drop the funk into the mix so the place will never fade
Ship it the the stations in your jurisdiction
Brothas say I'm dope, and the others say I'm bitchin'
No crowd can avoid the D-O to the C
When I'm P-E-R-F-O-R-M-I-N-G
On the stage, see the simple fact is I am dope
And known, I rock a funky beat without a cord so
It is my conclusion you will enjoy the fusion
And I will ascend with the style I am using
Knowin' that it's tough and it's not a bluff
I think I'll let it play cause Dre's hittin' funky enough

[Hook]
Dre make the funky hip-hop music so check it

[Verse 3]
Listen to the kick, drop in with the click
And with no rehearses I'm dropping funky verses
Stupid with the bit that you think you are relying on
You love it when it rattles is the fact that I'm buying on
Suckers never come close cause of knowing
There is no stopping the D.O.C. when I'm flowin'
But in the event that someone will try and juice this
Stop him in his tracks, show him that I am Ruthless
I don't give a damn, don't think that I am jokin'
Cause I don't think he is funny when you're messing with my money
Yo people tell me this, yo Dre you must stop him
But with no frills, so I just drop him
Continue with the rhyme and make sure I get mine
With no static cause that's all I need to get my nine, but
Lessons have been learned now all kidding have been fronting
Let it play when the people say, Dre yo you're getting funky enough

[Hook]
Deal with the D-O to the C

[Verse 4]
I need a break so I can check around
See who the hell who is sittin' down
I want all chairs off the floor
And if he stands to the wall, show him the door
And the PK nothing giving you something to rock to
To go nonstop to, not have to look at the clock you
Percieve, but can't believe you're being taken
By a beat so cool you start shaking
And shivering, cause I'm delivering the answer
Haven't seen you're a hellified dancer
You tried sittin' but it just won't work
Cause the beat is so fresh
Don't even tell it won't be funky enough

[Hook]
And with the help of the Dr. Dre, kick it

[Outro]
It's getting funky on the mix now, right
It's getting funky on the mix now, right
It's getting funky on the mix now, right
It's getting funky on the mix now
Put it in the needle, and drop it on the one, boy

"
9,9,Heavy D & The Boyz,Somebody For Me,10,1989-11-04,"

Oh yeah..

Love somebo-dy...

(Al B. Sure! harmonizes)

(Chorus 2X: Al B. Sure!)
Love somebo-dy who loves me for me
Happy hap-py where I wanna be

(Heavy D.)
I'll search low, and I'll search high
Tryin to find myself a cutie pie
But destiny leads me to a dead end
(love somebo-dy) Over and over and over again
They told me to wait, so I waited
Anticipated, debatin and delayed it
But still came up with the same ol' thing
..Nothing! (Nothing, nothing...)
It seems as if every time I find a right girl
She turns out to be a big wrong girl
Tell me y'all, when will this madness stop?
(stop, stop, stop, stop...)
I want somebody to love me for me
Not because I'm MC, Heavy D
I'm looking for a love that's as solid as a rock
(rock, rock, rock, rock...)

(Chorus 2X w/ Heavy D. saying ""for me"")
(Heavy D. (Al B. Sure!))
Now maybe I'll take a trip around the world
And find myself a beautiful, gorgeous girl
They say when you look, one never find
They also say that love is blind
It ain't that blind that I can't see
Somebody out there who's perfect for me
Somebody who's gonna love me, for me...
(I know you want love...)
Love, THAT'S what I'm talkin about
A relationship, a commitment
Something to live for...
(Maybe if you take, your time...)
Time has been taken and time has been spent
Now it's time for the lover to score...

(Chorus 2X)
(Instrumental for about 17 seconds)

(Chorus 2X)
Yo, Eddie F. break it down!

(Instrumental for about 34 seconds as Heavy D. ad-libs)

(Heavy D.)
Yeah...aight, here we go
So that's the storyline of my life
No cutie PIE, no future wife
Just relationships that bounce back like rubber...
(""Yo, word to the mutha!"")
I guess I'll call it a day and throw my towel in
'cause it seems that I can't win
So I'll just carry on being an Overweight Lover
(""Word...to...mutha!"")

(Chorus until fade)

"
