,artist,track,position,date
0,The 2 Live Crew,Me So Horny,1,1989-11-04
1,Young M.C.,Bust A Move,2,1989-11-04
2,Big Daddy Kane,Smooth Operator,3,1989-11-04
3,MC Lyte,Cha Cha Cha,4,1989-11-04
4,Kool Moe Dee,I Go To Work,5,1989-11-04
5,Wreckx-N-Effect,New Jack Swing,6,1989-11-04
6,M.C. Hammer,They Put Me In The Mix,7,1989-11-04
7,Biz Markie,Just A Friend,8,1989-11-04
8,The D.O.C.,It's Funky Enough,9,1989-11-04
9,Heavy D & The Boyz,Somebody For Me,10,1989-11-04
10,De La Soul,Say No Go,11,1989-11-04
11,Ice-T,Lethal Weapon,12,1989-11-04
12,Cool C,Glamorous Life,13,1989-11-04
13,Kwame,The Rhythm,14,1989-11-04
14,Boogie Down Productions,You Must Learn,15,1989-11-04
15,Redhead Kingpin & The F.B.I.,Do The Right Thing,16,1989-11-04
16,High Performance,Do You Really Wanna Party?,17,1989-11-04
17,3rd Bass,Steppin' Into The A.M.,18,1989-11-04
18,Run-D.M.C.,Pause,19,1989-11-04
19,Public Enemy,Fight The Power,20,1989-11-04
20,Sir Mix-A-Lot,Beepers,21,1989-11-04
21,N.W.A.,Express Yourself,22,1989-11-04
22,EPMD,So Wat Cha Sayin',23,1989-11-04
23,D.J. Jazzy Jeff & The Fresh Prince,I Think I Can Beat Mike T.,24,1989-11-04
24,Mellow Man Ace,Rhyme Fighter,25,1989-11-04
47,Uzi$ Bros,Nothin' But A Gangster,23,1989-11-11
48,Awesome Dre & The Hard Core Committee,Frankly Speaking,24,1989-11-11
49,Ms. Melodie,"Wake Up, Wake Up!",25,1989-11-11
68,The D.O.C.,The D.O.C. & The Doctor,19,1989-11-18
74,Donald-D,F.B.I.,25,1989-11-18
92,Ice Cream Tee,Let's Work,18,1989-11-25
98,Gucci Crew II,Five Dollar High,24,1989-11-25
114,Arabian Prince,She's Got A Big Posse,15,1989-12-02
124,Body & Soul,Dance To The Drummer's Beat,25,1989-12-02
138,Rob Base,Turn It Out,14,1989-12-09
143,Young M.C.,Principal's Office,19,1989-12-09
167,Black Rock 'N' Ron,True Feelings,18,1989-12-16
168,Steady B,Going Steady,19,1989-12-16
169,Grandmaster Slice & Izzy Chill,Electric Slide,20,1989-12-16
172,Salt-N-Pepa,Expression,23,1989-12-16
173,The Young And The Restless,Poison Ivy,24,1989-12-16
193,Redhead Kingpin & The F.B.I.,Pump It Hottie,19,1989-12-23
198,Big Daddy Kane,I Get The Job Done,24,1989-12-23
217,De La Soul,Buddy,18,1989-12-30
223,Wreckx-N-Effect,Juicy,24,1989-12-30
224,Chubb Rock,Stop That Train,25,1989-12-30
272,Serious-Lee-Fine,Nothing Can Stop Us,23,1990-01-13
296,Public Enemy,Welcome To The Terrordome,22,1990-01-20
298,Queen Latifah Featuring Monie Love,Ladies First,24,1990-01-20
339,3rd Bass,The Gas Face,15,1990-02-03
342,Digital Underground,The Humpty Dance,18,1990-02-03
346,Mr. Lee,Get Busy,22,1990-02-03
347,Rodney O & Joe Cooley,Say It Loud,23,1990-02-03
348,T-Ski,Pump That Beat,24,1990-02-03
349,Divine Styler Feat. The Scheme Team,Ain't Sayin' Nothin',25,1990-02-03
363,Heavy D & The Boyz,"Gyrlz, They Love Me",14,1990-02-10
387,The 2 Live Crew,C'mon Babe,13,1990-02-17
393,Def Dames,976-Boom,19,1990-02-17
394,Kwame,Sweet Thing,20,1990-02-17
396,Gang Starr,Positivity,22,1990-02-17
399,Low Profile,Pay Ya Dues,25,1990-02-17
420,LL Cool J,Jingling Baby,21,1990-02-24
424,Maestro Fresh-Wes,Let Your Back Bone Slide,25,1990-02-24
446,Bobby Jimmy & The Critters,Somebody Farted,22,1990-03-03
471,Vicious Beat Posse,Legalized Dope,22,1990-03-10
472,Above The Law,Murder Rap,23,1990-03-10
473,M.C. Hammer,Help The Children,24,1990-03-10
491,MC Lyte & DJ K Rock,"Stop, Look, Listen",17,1990-03-17
498,Kid 'N Play,Funhouse,24,1990-03-17
516,Professor Griff,Pawns In The Game,17,1990-03-24
522,The D.O.C.,The Formula,23,1990-03-24
546,A Tribe Called Quest,I Left My Wallet In El Segundo,22,1990-03-31
548,Oaktown's 3.5.7,Juicy Gotcha Crazy,24,1990-03-31
549,Kid Sensation,Back To Boom,25,1990-03-31
572,The 2 Live Crew,The Funk Shop,23,1990-04-07
573,M.C. Hammer,Dancin' Machine,24,1990-04-07
597,Missy Mist,Gettin' Bass,23,1990-04-14
598,M.C. Shy-D,Don't Sweat Me,24,1990-04-14
599,Kenny B Devine,Bass In The Box,25,1990-04-14
613,Public Enemy,911 Is A Joke,14,1990-04-21
618,Young And Restless,"""B"" Girls",19,1990-04-21
620,Power Jam Featuring Chill Rob G,The Power,21,1990-04-21
646,Nice & Smooth,Funky For You,22,1990-04-28
