,recording_id,artist_name,track_name,lyrics_artist,lyrics_track,lyrics,artist_name_lower
4,5,Junior M.A.F.I.A. Featuring The Notorious B.I.G.,Get Money,Get Money,Junior M.A.F.I.A.,"Fuck bitches get money.. fuck niggaz get money (3X)
[Kim] Hehehe
[Big] WHAT? Uhh sex em up
[Kim] The fuck? That shit ain't even ?? big boy
[Big] Oh aight you don't you don't get none of that shit
Uhh check it out
[Kim] Bout to ""get money""

[Notorious B.I.G.]
You wanna sip Mo' on my living room flo'
Play Nintendo with Cease a Leo
Pick up my phone say ""Poppa not home""
Sex all night mad head in the morn'
Spin my V, smoke all my weed
Tattoo on tit-tie sayin B-I-G, now check it
You wanna be my main squeeze baby
Don'tcha, you wanna gimme what I need baby
Won'tcha, picture life as my wife just think
Full length mink, fat X and O links
Bracelets to match, conversation was all that
Showed you the safe combinations and all that
Guess you could say youse the one I trusted
Who would ever think that you would spread like mustard?
Shit got hot, you sent Feds to my spot
Took me to court, tried to take all I got
'Nother intricate plot, the bitch said I raped her
""Damn, why she wanna stick me for my paper?""
My Mo-sci-no, my Ver-sa-ce hottie
Come to find out, you was fuckin everybody
You knew about me, the fake ID
Cases in Virginia, body in D.C.
Woe, oh is me, that's what I get for trickin
Pay my own bail, commence to ass kickin
Lick in the door, wavin the four-four
All you heard was, ""Poppa don't hit me no more""
Disrespect my click, my shit's imperial
Fuck around and made her milkbox material
You feel me? Suckin dick, runnin your lips
'Cause of you, I'm on some real fuck a bitch shit, uhh..

Fuck bitches, get money.. fuck niggaz, get money (3X)
[Big] WHAT? I see mad girls like you
[Kim] You seen mad girls just ACTIN hot
[Big] I'm tellin you though
[Kim] There AIN'T nobody like me
[Big] You just frontin, there's people out like that
[Kim] ??

[Lil' Kim]
Uhh, whoo! Get at me
Whoo, I told you niggaz
Niggaz.. betta grab a seat
Grab on your dick as this bitch gets deep
Deeper than the pussy of a bitch six feet
Stiff dicks feel sweet in this little petite
Young bitch from the street, guaranteed to stay down
Used to bring work outta town on Greyhound
Now I'm Billboard now, niggaz press to hit it
Play me like a chicken, thinkin I'm pressed to get it
Rather do the killin than the stick up jooks
Rather count a million while you eat my pussy
Push me to the limit get my feelings in it
Get me open while I'm cummin down your throat
Then, you wanna be my main squeeze nigga
Don'tcha, you wanna lick between my knees nigga
Don'tcha wanna see me whippin your 3 down the Ave.
Blow up spots on bitches because I'm mad
Break up affairs lick shots in the air
You get vexed, and start swingin everywhere
Me shifty? Now you wanna pistol whip me
Pull out your nine, while I cock on mine
Yeah what nigga? I ain't got time for this
So what nigga? I'm not tryin to hear that shit
Now you wanna buy me diamonds and Armani suits
Adia Vinadini and Chanel lime boots
Things that make up, for all the games and the lies
Hallmark cards, sayin, ""I apologize""
Is you wit me? How could you ever decieve me
But payback's a bitch motherfucker, believe me
Naw I ain't gay this aint no lesbo flow
Just a lil somethin, to let you motherfuckers know

Fuck bitches, get money.. fuck niggaz, get money (*repeat to end*)
[Kim] Wait a minute, wait a minute
Back up, just give me that shit, this shit is mine
[Big] Oh you want my numbers and shit
[Kim] ??
[Big] Look, now you wanna ??
[Kim] I'm all that bitch, don't ask
You're fuckin with a bitch named Aphrodite
[Big] Y'all believe that shit?
[Kim] Just playin with you, worrd
?? daddy is all that, oh word
?? I'm talkin bout some presidents
Talkin bout this motherfuckin cash
[Big] Whatever you don't think about this
My nickname was Jesus in high school
[Kim] You don't even believe that shit!
God don't believe that shit!
[Big] I'm the supreme being baby",junior m.a.f.i.a. featuring the notorious b.i.g.
7,8,Nas,If I Ruled The World,The World Is Yours,Nas,"&amp;amp;quot;It's yours!&amp;amp;quot; --&amp;amp;gt; T La Rock

Chorus: Nas, Pete Rock
[PR] Whose world is this?
[Nas] The world is yours, the world is yours
[PR] It's mine, it's mine, it's mine
Whose world is this?
""It's yours!""
It's mine, it's mine, it's mine
Whose world is this?
[Nas] The world is yours, the world is yours
[PR] It's mine, it's mine, it's mine
Whose world is this?

I sip the Dom P, watchin Gandhi til I'm charged
Then writin in my book of rhymes, all the words pass the margin
To hold the mic I'm throbbin, mechanical movement
Understandable smooth shit that murderers move wit
The thief's theme, play me at night, they won't act right
The fiend of hip-hop has got me stuck like a crack pipe
The mind activation, react like I'm facin time like
'Pappy' Mason with pens I'm embracin
Wipe the sweat off my dome, spit the phlegm on the streets
Suede Timb's on my feets, makes my cypher, complete
Whether crusin in a six-cab, or Montero Jeep
I can't call it, the beats make me fallin asleep
I keep fallin, but never fallin six feet deep
I'm out for presidents to represent me (Say what?)
I'm out for presidents to represent me (Say what?)
I'm out for dead presidents to represent me

[PR] Whose world is this?
[Nas] The world is yours, the world is yours
[PR] It's mine, it's mine, it's mine
[PR] Whose world is this?
[Nas] The world is yours, the world is yours
[PR] It's mine, it's mine, it's mine
Whose world is this? ""It's yours!""
It's mine, it's mine, it's mine
Whose world is this?
[Nas] The world is yours, the world is yours
[PR] It's mine, it's mine, it's mine
Whose world is this?

To my man Ill Will, God bless your life ""It's yours!""
To my peoples throughout Queens, God bless your life
I trip we box up crazy bitches aimin guns in all my baby pictures
Beef with housin police, release scriptures that's maybe Hitler's
Yet I'm the mild, money gettin style, rollin foul
The versatile, honey stickin wild, golden child
Dwellin in the Rotten Apple, you get tackled
Or caught by the devil's lasso, shit is a hassle
There's no days, for broke days, we sell it, smoke pays
While all the old folks pray, to Je-sus' soakin they sins in trays
of holy water, odds against Nas are slaughter
Thinkin a word best describin my life, to name my daughter
My strength, my son, the star, will be my resurrection
Born in correction all the wrong shit I did, he'll lead a right direction
How ya livin large, a broker charge, cards are mediocre
You flippin coke or playin spit spades in strip poker

""It's yours!""

Chorus: Nas, Pete Rock

[PR] It's mine, it's mine, it's mine
[PR] Whose world is this?
[Nas] The world is yours, the world is yours
[PR] It's mine, it's mine, it's mine
Whose world is this? ""It's yours!""
It's mine, it's mine, it's mine
Whose world is this?
[Nas] Yo, the world is yours, the world is yours
[PR] It's mine, it's mine, it's mine
Whose world is this? ""It's yours!""
[PR] Break it down

*Pete Rock cuts and scratches ""It's yours!""*

I'm the young city bandit, hold myself down singlehanded
For murder raps, I kick my thoughts alone, get remanded
Born alone, die alone, no crew to keep my crown or throne
I'm deep by sound alone, caved inside in a thousand miles from home
I need a new nigga, for this black cloud to follow
Cause while it's over me it's too dark to see tomorrow
Trying to maintain, I flip, fill the clip to the tip
Picturin my peeps, now the end could make my heartbeat skip
and I'm amped up, they locked the champ up, even my brain's in handcuffs
Headed for Indiana stabbin women like the Phantom
The crew is lampin big Willie style
Check the chip toothed smile, plus I profile wild
Stash through the flock wools, burnin dollars to light my stove
Walk the blocks wit a bop, checkin Danes plus the games
people play, bust the problems of the world today

""It's yours!""

Chorus: Nas, Pete Rock

[PR] It's mine, it's mine, it's mine
[PR] Whose world is this?
[Nas] The world is yours, the world is yours
[PR] It's mine, it's mine, it's mine
Whose world is this? ""It's yours!""
It's mine, it's mine, it's mine
Whose world is this?
[Nas] Yeah... the world is yours, the world is yours
[PR] It's mine, it's mine, it's mine
Whose world is this? ""It's yours!""
Break it down

Yea aight?
To everybody in Queens, the foundation ""It's yours!""
The world is yours
To everybody uptown, yo, the world is yours ""It's yours!""
The world is yours
To everybody in Brooklyn
Y'all know the world is yours ""It's yours!""
The world is yours
Everbody in Mount Vernon, the world is yours ""It's yours!""
Long Island, the world is yours ""It's yours!""
Staten Island, yea the world is yours ""It's yours!""
South Bronx, the world is yours ""It's yours!""
Aight

*Pete Rock keeps cuttin and scratchin ""It's yours!"" to fade*

}}",nas
9,10,Fabolous,Young'n (Holla Back),Throw Back,Fabolous,"[Fabolous talking]
Dont try to fuck wit me yall
Cause you cant
Uhh, I stay way ahead of the game
Ya know, Catch me if you can nigga
Uhh, Haha

[Verse 1]
Throwback this, Throwback that
It aint where you for its where you wear ya throwback at
I rock the Reds Pete Rose when I'm in the 'Natti
And 4X, You cant see the semi-automatti
When I'm in the Chi' you think they aint that shocked
To see the kid roll through in the St. Pats Socks
So pull out the Chicago and the script to wear on Soul Train
The Bulls, When Mike had hair and a gold chain
I get the Spirit in St. Louis, How could the god lose
I do back flips in the Ozzie Cardinals
They love me in Cleveland, Everytime I travel there
I'm in the Indians or that Cavaliers
When I hit Minnesota, That kid from Brooklyn wear
The Vikings or the Timberwolves from Garnett's rookie year
And in Milwaukee I had to pimp it and go back
20 years with the Bucks and Brewers throw backs

[Chorus]
Throwback this, Throwback that
They even look better with the matching hat
All you gotta check is the players stats
It aint where you for its where you wear ya throwback at
Throwback this, Throwback that
They even look better with the matching hat
All you gotta check is the players stats
It aint where you for its where you wear ya throwback at

[Verse 2]
I might charge through San Diego with the bolts on my shoulder
Rock the Trailblazer warm-up, Cause Portland gets colder
And even the pimps be jealous
When I'm in the floor seat at the Forum in the M.P.L.S.
And they be askin' what teams on the kid chest
This the Rams before they moved to the Midwest
When I'm in the Bay with it, I dont play with it
Im in the Athletics with the matchin' A's fitted
This aint even for the minors
Cause they dont know nothin' bout the Joe Montana, 49ers
Seattle, Probally heard different rumors
Either about the Payton or the Griffey Jr.
I come through Denver like 4th quarter with Elway
Or the Nuggets that make them yell Ehhhh
In Pheonix I do the old Suns
Cause the new jerseys is cool, But nothings really like the old ones
Ya know

[Chorus]
Throwback this, Throwback that
They even look better with the matching hat
All you gotta check is the players stats
It aint where you for its where you wear ya throwback at
Throwback this, Throwback that
They even look better with the matching hat
All you gotta check is the players stats
It aint where you for its where you wear ya throwback at

[Verse 3]
In New York what I wear the the club may vary
Mets or Yankees like the Subway Series
When I'm in Boston I melt the bean
In a hot Red Soxs or Celtics green
In the city of Philly, I roll up on the biddes like feel these
In a size 56 Phillies
In Jersey I got the Nets on
That you can bet on
In D.C. I couldnt pull it
Without the Bullets
When I stop in Atlanta I cant talk long
Them birds know I got the Falcons or the Hawks on
That peach Tampa Bay dont hit the streets too often
Not even Miami could take the Heat of Dolphins
Aint no complaints on
When I'm in New Orleans with the Saints on
In Houston I pass hoes
In the Astros
In Dallas I always gotta have
The Cowboys or the Mavs
Tell Pete To keep it comin, And Imma keep it comin

[Chorus]
Throwback this, Throwback that
They even look better with the matching hat
All you gotta check is the players stats
It aint where you for its where you wear ya throwback at
Throwback this, Throwback that
They even look better with the matching hat
All you gotta check is the players stats
It aint where you for its where you wear ya throwback at",fabolous
11,12,Arrested Development,Ease My Mind,Ease My Mind,Arrested Development,"I need some time to ease my mind

Thrusted in a world that I don't know
from my mamas lips between my mamas hips
I'm cuddled by her hands because she understands
it's that bond that keeps the movement movin' on.
Life is surrounded with so many insecurities
back stabbin' is like breathing when in poverty.
I try to make my sanity, with the insane
God is secondary to most, when they scrap for money.
But, then again money can cause even more death.
when a African becomes a nigger step n fetch n all.
I dare say when price is right U can buy us all.
well not me, cuz I don't truly give a care about you.
I'll move in poverty, in wealth but I'll surely move!
Ain't syncopated with your beats or your wack grooves
my break beat is to break away from yo thang
All these things you put on me makes this brother sing...

Chorus:
I need some time to ease my mind.

Mind &amp;amp;amp; soul is even more important then body
money can put my body in all exotic spaces
meanwhile my mind &amp;amp;amp; soul remotely dwells
within that fine spot between all messed up &amp;amp;amp; hell.
And so I move on with confidence of harmony
And do my thang to resist this wack society
Cuz if you don't resist, &amp;amp;amp; I mean consciously
you'll fool your sub-conscious into accepting it.
I ain't acceptin' it - I keep my focus
I keep my focus - I ain't acceptin'it.
Give me a face pencil to draw a smile on me.
Answer my prayer to give my Earthly body inner peace
Answer my prayer to give my Earthly
body
inner
inner peace.
Until that day upon which my souls released!

Chorus

need some time need some time
when the sista's say it then you know it's gotta be real!

Thrusted in a world that I don't know
from my mommas lips between my mamas hips
I'm cuddled by her hands because she understands
It's that bond that will keep the movement movin' on
It's that bond that will keep the movement movin' on.
And so I GOTTA BE READY TO RELINQUISH
gotta be ready to relinquish, my breath of life for struggle.

That is why I tell you...

I need some time to ease my mind.",arrested development
19,20,Chubb Rock,Treat  Em Right,Treat 'em Right,Chubb Rock,"Nineteen ninety
Chubb Rock jumps up on the scene
With a lean
And a pocket full of green
The green doesn't symbolize I made it on the top
But RoboCop last year was a shock
The tone of the Popeye cut shook your butt
Kids are screaming; the media says, &amp;quot;What...
&amp;quot;Kind of music is this for you to dance to?&amp;quot;
The man with the plan and the man demands you
Leave the smack and the crack for the wack
Or the vile and the nine; keep a smile like that
Leave the knife and the gun in the store
And ignore temptation
Sent by the nation
Racial gain causes pain; need a new rep
In your hearts and minds never forget Yusef
Hawkins
And you're walking
You don't just run
Black on black; remember that; it's important
Anyway the shunless one brings forth the fun
No hatred; the summer's almost done
No time for sleep
Jump in your Jeep
And pump up the funky beat a whole week
Beeper goes off yo smash it and trash it
You're too young to be plumped in a casket
Just get your boys and bring the noise
And just swing it
And party people, sing it

Chorus:
Treat me right
I'll treat you good

Kids in the crib want dibs on the big man
&amp;quot;Can he come out? Can he come out and slam a jam?
&amp;quot;I'm his number one fan, yes I am&amp;quot;
All these kids realize that I'm the man
Six foot three and maybe a quarter of an inch bigger
Than last year, but still a unique figure
Rob Swinger, Doc No, Dinky, and Hot Dog know
That I'm a man who was born to have a mic on
Next to me at all time; ready to kick a rhyme
That will keep me out of financial bind
That's why when it comes to fans I'm never mean
Kids all see me between Gates and Green
Always say hello
Cause I'm a modest fellow
Never try and play a super star that's mellow
Cause if these kids don't go buy our records
We'll be has-beens and plus naked
So we owe them
So pull out your pen
Sign an autograph; you might make a new friend
So just get your boys and bring the noise and just swing it
And party people in the house, sing it

Chorus

Party people in the house, listen up
I'm the man with the plan and the man rips it up
Peace to Howie Tee, good lookin', gee
Swinger, Hot Dog, Doc No, Bud, Ev Lover, Dinky
Fish and chips with the hippy hippy hips
Before the tune ends, give me some lips (ah!)
Sanity Crystal, my niece
And Lady Kazam, my homegirl, peace
And leave the guns and have fun; out!
And oh yeah, sing it

Chorus

Break

Well coming back
To nineteen ninety
Chubb Rock jumps up on the scene with a lean and a hardcore dream
The dream wasn't crafted to be pornographic
Decency started from the crib, plus kids
Don't need to hear all of that on the rap
The strength of my vibe placed Chubbs on the map
Cause authority, seniority goes far
My staff gives autographs plus gives nuff laughs
Read my mic, heed my sight, and definitely lead you right
Just treat me right
Peace

Treat me right
Treat me right
Treat me right",chubb rock
20,21,KRS-One,Sound Of Da Police,Sound of Da Police,KRS-One,"Chorus:

Woop-woop!
That's the sound of da police!
Woop-woop!
That's the sound of the beast!

[Yes, indeed]

Verse One:

Stand clear! Don man a-talk
You can't stand where I stand, you can't walk where I walk
Watch out! We run New York
Police man come, we bust him out the park
I know this for a fact, you don't like how I act
You claim I'm sellin' crack, but you be doin' that
I'd rather say ""see ya""! Cause I would never be ya
Be a officer? You WICKED overseer!
Ya hotshot, wanna get props and be a saviour
First show a little respect, change your behavior
Change your attitude, change your plan
There could never really be justice on stolen land
Are you really for peace and equality?
Or when my car is hooked up, you know you wanna follow me
Your laws are minimal
Cause you won't even think about lookin' at the real criminal
This has got to cease
Cause we be getting HYPED to the sound of da police!

Chorus

Verse Two:

Now here's a likkle truth, open up your eye
While you're checking out the boom-bap, check the exercise
Take the word ""overseer"" like a sample
Repeat it very quickly in a crew for example
Overseer
Overseer
Overseer
Overseer
Officer, Officer, Officer, Officer!
Yeah, officer from overseer
You need a little clarity?
Check the similarity!
The overseer rode around the plantation
The officer is off patroling all the nation
The overseer could stop you what you're doing
The officer will pull you over just when he's pursuing
The overseer had the right to get ill
And if you fought back, the overseer had the right to kill
The officer has the right to arrest
And if you fight back to put a hole in your chest!
(Woop!) They both ride horses
After 400 years, I've _got_ no choices!
The police them have a little gun
So when I'm on the streets, I walk around with a bigger one
(Woop-woop!) I hear it all day
Just so they can run the light and be upon their way

[Yes, indeed]
Chorus

Verse Three:

Check out the message in a rough stylee
The real criminals are the C-O-P
You check for undercover and the one PD
But just a mere Black man, them want check me
Them check out me car for it shine like the sun
But them jealous or them vexed cause them can't afford one
Black people still slaves up til today
But the Black police officer nah see it that way
Him want a salary Him want it
So he put on a badge and kill people for it
My grandfather had to deal with the cops
My great-grandfather dealt with the cops
My GREAT grandfather had to deal with the cops
And then my great, great, great, great... when it's gonna stop?!

Chorus",krs-one
53,54,2Pac,So Many Tears,So Many Tears,2Pac,"I shall not fear no man, but God
Though I walk through tha valley of death
I shed so many tears
Please God walk with me...

Back in Elementry, I thrived on misery
Left me alone I grew up amongst a dying breed
Inside mind couldn't find a place ta rest
Untill I got that Thug Life tatted on my chest
Tell me can ya feel me ?
I'm not liven in tha Past, You wanna last
Be tha first ta blast, remember Kato
No longer with us he's deseased
Call on tha sirens, I seem him murdered in tha streets
Now rest in peace
Is there heaven for a 'G' ?
Remember me, so many homies in the cemetary
Shed so many tears

[Chorus]

Lord
I suffer through tha years
And shed so many tears
Lord
I lost so many peers and shed so many tears

Now that i'm strugglin' in this business
By any means, label me greedy gettin green
But seldom seen
And fuck tha world cuz i'm cursed
I'm havin visions of leaven here in a hurse
God can ya feel me?
Take me away from all tha pressure and all tha pain
Show me some happiness again
I'm goin' blind
I spend my time in this cell, ain't livin' well
I know my destiny is hell, where did I fail ?
My life is in denial
And when I Die, babtised in Eternal Fire
Shed so many tears...

[Chorus]

Lord
I suffer through tha years
And shed so many tears
Lord
I lost so many peers and shed so many tears

Now i'm lost and i'm weary
So many tears, i'm suicidal, so don't stand near me
My every move is a compilated step
Ta bring me closer
To embrace an early death now there's nothing left
There was no mercy on tha streets
I couldn't rest
I'm barely standing, bout to go to pieces, screaming peace
And though my soul was deleted, I couldn't see it
I had my mind full of demons tryin' ta break free
They planted seeds and they hatched sparking tha flame
Inside my brain like a match, such a dirty game
No memories, just misery
Painting a picture of my enemies killing me in my sleep
Will I survive till' tha morning ta see tha sun
Please lord forgive me for my sins
Cause here I come...

[Chorus]

Lord
I suffer through tha years
And shed so many tears
God
I lost so many peers and

Lord knows i've tried, been a witness ta homicide
Drive-bys taken lives, little kids die
Wonder why as I walk by
Broken hearted as I glance at tha chaulk line, gettin' high
This ain't tha life for me
I wanna change
But ain't no future right for me
I'm stuck in tha game
I'm trapped inside a maze
See this Tangaray influenced me ta gettin crazy
Disillusioned lately
I've been really wanting babies
So I could see a part of me that wasn't always shady
Don't trust my lady
Cause she's a product of this poison, i'm hearen noises
Think she's fucken on my boys, can't take no more
I'm fallin' to tha floor
Beggin' for tha Lord ta let me in Heavens door
I shed so many tears...

[Chorus]

Lord
I lost so many peers
And shed so many tears
I lost so many peers and shed so many tears
I suffered through tha years and shed so many tears",2pac
55,56,Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me),C.R.E.A.M.,Wu-Tang Clan,"Intro: Raekwon The Chef and Method Man
What that nigga want God?
Word up, look out for the cops (Wu-Tang five finger shit)
(Cash Rules) Word up, two for fives ova here baby
Word up, two for fives them niggaz got garbage down the way, word up
Know what I'm sayin?
(Cash Rules Everything Around Me C.R.E.A.M. get)
Yea, check this ol' fly shit out
Word up
(Cash Rules Everything Around Me) Take you on a natural joint
(C.R.E.A.M. get the money) Here we, here we go
(dolla, dolla bill y'all) Check this shit, yo!

Verse 1: Raekwon The Chef
I grew up on the crime side, the New York Times side
Stayin' alive was no jive on second hands
Moms bounced on old men
So then we moved to Shaolin land
A young youth, yo rockin the gold tooth, 'Lo goose
Only way, I begin to gee off was drug loot
And let's start it like this son, rollin wit this one
And that one, pullin out gats for fun
But it was just a dream for the teen who was a fiend
Started smokin woolies at 16
And running up and gates, and doing hits for high stakes
Makin' my way on fire escapes
No question I would speed, for cracks and weed
The combination made my eyes bleed
No question I would flow off and try to get the dough all
Stickin' up white boys on ball courts
My life got no betta, same damn 'lo sweater
Times is rough and tough like leather
Figured out I went the wrong route
SO I GOT WIT A SICK ASS CLIQUE AND WENT ALL OUT!
Catchin keys from across seas
Rollin in MVP's, every week we made 40 g's
Yo nigga respect time, or anger the tech-9
Ch-chick-POW, move from the gate now

Chorus: Method Man
Cash Rules Everything Around Me
C.R.E.A.M get the money
Dolla, dolla bill y'all

Verse 2: Inspectah Deck
It's been 22 long, hard years of still strugglin'
Survival got me buggin', but I'm alive on arrival
I peep at the shape of the streets
And stay awake to the ways of the world 'cause shit is deep
A man with a dream with plans to make C.R.E.A.M.
Which failed; I went to jail at the age of 15
A young buck sellin drugs and such who never had much
Trying to get a clutch at what I could not... could not...
The court played me short, now I face incarceration
Pacin -- going up state's my destination
Handcuffed in back of a bus, forty of us
Life as a shorty shouldn't be so ruff
But as the world turns I learned life is hell
Living in the world no different from a cell
Everyday I escape from Jakes givin chase, sellin base
Smokin bones in the staircase
Though I don't know why I chose to smoke sess
I guess that's the time when I'm not depressed
But I'm still depressed, and I ask what's it worth?
Ready to give up so I seek the Old Earth
Who explained working hard may help you maintain
To learn to overcome the heartaches and pain
We got stickup kids, corrupt cops, and crack rocks
And stray shots, all on the block that stays hot
Leave it up to me while I be living proof
To kick the truth to the young black youth
But shorty's running wild smokin sess drinkin beer
And ain't trying to hear what I'm kickin in his ear
Neglected, but now, but yo, it gots to be accepted
That what? That life is hectic

Chorus -- 3X

Cash Rules Everything Around Me
C.R.E.A.M.
get the money
Dolla dolla bill y'aauhhhaaaauhhhhahhhauhhhhll, YEAH",wu-tang clan
56,57,Gravediggaz,Diary Of A Madman,Diary of a Madman,Gravediggaz,"Intro:

lady [They killed my baby..oh god they killed my baby]
judge [Order in the court]
lady [I will make you pay for this you murderers]
judge [I said order in the court now! Now, before this
court passes judgement, will the four defendents
please rise and approuch the bench]
gravedigga [Trust me guys, it's all under control
the judge is my uncle, he'll take the
insanity plea...oh yeah, don't foget
my retained balance.]
judge [Okay, I understand you guys are pleading insanity
claiming demonic spirits possessed you to do
these hidous murders. Can you please explain
to the court how these so called spirits made
you into these RAVING MADMEN?!?!]

Verse One: Scientific Shabazz

Bear witness, as I exercize my exorcism
The evil that lurks within the sin, the terrorism
Possessed by evil spirits, voices from the dead
I come forth with Gravediggaz in a head full of dread
I've been examined ever since I was semen
They took a sonogram and seen the image of a demon
At birth the nurses surrounded me with needles
and drugged me all up with the diseases of evil
Grew up in hell, now I dwell, in an Islamic Temple
I'm fighting a holy war in the mental
Look deep into my eyes, you'll see visions of death
Possessed by homicide is what I'm obsessed
Giving niggaz brain dimples
Dragging they asses on my hook by they temples
The cause of death is unknown to the cops
Cause when I kill them, I'm not leavin one element to autopse
First I'll assassinate em
And them I'll cremate them
and take all of his fucking ashes and evaporate em
Or creep through the graveyard and hunt down your tombstone
Dig up your skeleton and stomp all your fucking bones
You try to haunt me nigga, I ain't trying to hear it
Buck Buck Buck, I'll give your ass a holy spirit.

gravedigga [stressed full, try to avoid all impure
thoughts. I am loosing my mind . . .]

judge [Can you please explain to the court when these
problems first began?]

Verse Two: Prince Rakeem/Rzarector

The year 84, November, day 10
Overwhelmed by the wicked inspirations of an evil gen
I realize my ideas has spawned for 400 years
Of blood sweat and tears
I saw the torture, brutal murder of my father
So my brain became stained with the horror
I'm having recurring nightmares
Of being soaking wet, strapped down to the electric chair
I got tackled with handcuffs
And shackled in restraint
At the bottom of a holy tabernacle
They gave me nothing to eat for two weeks
And sewed my eyelids open so I couldn't sleep
About to die from thirst, that's when the minister
quenched my jaws with a cold glass of vinegar
Upon my wounds they seasoned me with salt
And nailed my hands feet to the form of the cross
AHH!! I cry
As the blood drips inside of my eye
refusing to die
Visions of hell tormented my face
So I chewed my fucking arm off and made an escape.

guy [ oh no, me mataron mi amigo, hijo de la gran puta
esos cogines me mataron mi amigo que voy a cerca
carajo, cono]

judge [ Calm down people, please calm down
Let us please procede with the
defendents explanation ]

Verse Three: Killah Priest

Enter the realms of understanding
And take good heed
And you could bleed
While I'm standing
Three stages of pure hell
Justications of red cells
*SHH* rain drops hits the pelv
Path is dull and narrow
You're stalked by a shadow
I pierced your skull with a fucking arrow
So narrow, only one could enter at a time
Stuck in the center, read the signs
A thousand doors to choose
You better hurry
Don't stop, shit is getting hot as a pot of curry
On your right side there's fire
On you left, deep waters
Watch your step, it's deep waters!
What's that coming through the floor?
It's a claw
*PSSH* took his fucking ass to the fucking core
(AHHH!!)

Verse Four: Frukwan/Gatekeeper

Stroll through the dark conditions
I stone you till I see sparks of friction
I chop ya like a coal miner
Then combine the drug
And mix it with your blood
Some more
I give you some more
And watch you crawl
Guts hit the floor
Worms that dig your pores
I trick ya, ha, then I'm quick to syringe
Deep into my thoughts and bust out your skin
You scream, portraits of inflictable pain
You can't stand
You're up to your hands in quicksand
You're sinking and sinking deep into the earth
Thoughts was possessed since the first day of birth
My mental says it's my turn to possess the matter
Stab you with a dagger
Of Jacob's Ladder
Thoughts become shattered, confused, and tragic
Fiery thoughts of Gravediggaz . . .

judge [ GUILTY, next case. ]",gravediggaz
57,58,Q-Tip,Vivrant Thing,Vivrant Thing,Q-Tip,"Uh, check it out now
Uh, no doubt now
Uh, yo, check it out now
Uh, no doubt, yo

Special girl, real good girl
Biggest thing in my itty bitty world
Called her up and she made me feel right
Wish bliss could never take flight
Sittin back with this mic in my hand
Spittin hot shit tryin to see grand
Imprinted on my mind every minute
Make my plans and you always in it, yo

(Chorus)
It's such a vivrant thing,
Vivrant thing, a vivrant thing

And even though we both fly
Give each other space and not the evil eye
Actin like grownups
Don't even try to hide cause the spot blown up
Girlfriend tellin you she wanna see
I say 'I dunno' but you say 'Gladly'
And when we both do hemp
We go on and on and on and on and on and
Sweeter than Ben &amp; Jerry
Can I rhyme?
Well you know I gets mine
Sittin round in my abstract part

This abstract thing doin abstract parts, yo

(Chorus) x4

Gettin back to my MC status
All the willy that I kick make the other niggas mad as
Movin, to your town and situation
Shorty thought she subtle but she really was blatant when she
Shook her thing and violated
Now these wolf-like thoughts are formulated
I'm sayin, 'Yo is this some heart felt shit in here'
Am I a strongman nigga well shit yea
Plus we can hold a convo
Or go to the movies, my crib, whatever yo
Just wanna see you by my side
We on 95, know the stash is in the ride
A rappin nigga for real
You would find me in a cypher if I didn't cop a deal
Rap slate like big grate
You buy, I sell, we split big cake
Uh uh, just move your little thing
Move it around and shake your little thing
Uh Uh

(Chorus) x3",q-tip
