,artist,track,position,date
0,The 2 Live Crew,Me So Horny,1,1989-11-04
1,Young M.C.,Bust A Move,2,1989-11-04
2,Big Daddy Kane,Smooth Operator,3,1989-11-04
3,MC Lyte,Cha Cha Cha,4,1989-11-04
4,Kool Moe Dee,I Go To Work,5,1989-11-04
5,Wreckx-N-Effect,New Jack Swing,6,1989-11-04
6,M.C. Hammer,They Put Me In The Mix,7,1989-11-04
7,Biz Markie,Just A Friend,8,1989-11-04
8,The D.O.C.,It's Funky Enough,9,1989-11-04
9,Heavy D & The Boyz,Somebody For Me,10,1989-11-04
10,De La Soul,Say No Go,11,1989-11-04
11,Ice-T,Lethal Weapon,12,1989-11-04
12,Cool C,Glamorous Life,13,1989-11-04
13,Kwame,The Rhythm,14,1989-11-04
14,Boogie Down Productions,You Must Learn,15,1989-11-04
15,Redhead Kingpin & The F.B.I.,Do The Right Thing,16,1989-11-04
16,High Performance,Do You Really Wanna Party?,17,1989-11-04
17,3rd Bass,Steppin' Into The A.M.,18,1989-11-04
18,Run-D.M.C.,Pause,19,1989-11-04
19,Public Enemy,Fight The Power,20,1989-11-04
20,Sir Mix-A-Lot,Beepers,21,1989-11-04
21,N.W.A.,Express Yourself,22,1989-11-04
22,EPMD,So Wat Cha Sayin',23,1989-11-04
23,D.J. Jazzy Jeff & The Fresh Prince,I Think I Can Beat Mike T.,24,1989-11-04
24,Mellow Man Ace,Rhyme Fighter,25,1989-11-04
47,Awesome Dre & The Hard Core Committee,Nothin' But A Gangster,23,1989-11-11
48,Ms. Melodie,Frankly Speaking,24,1989-11-11
67,The D.O.C.,The D.O.C. & The Doctor,19,1989-11-18
70,Redhead Kingpin & The F.B.I.,"Wake Up, Wake Up!",22,1989-11-18
89,Donald-D,F.B.I.,17,1989-11-25
90,Ice Cream Tee,Let's Work,18,1989-11-25
96,High Performance,Five Dollar High,24,1989-11-25
111,Arabian Prince,She's Got A Big Posse,15,1989-12-02
134,Rob Base,Turn It Out,14,1989-12-09
139,Young M.C.,Principal's Office,19,1989-12-09
142,Body & Soul,Dance To The Drummer's Beat,22,1989-12-09
162,Steady B,True Feelings,18,1989-12-16
163,Body & Soul,Going Steady,19,1989-12-16
164,Kool Moe Dee,Electric Slide,20,1989-12-16
167,Cool C,Expression,23,1989-12-16
185,Redhead Kingpin & The F.B.I.,Poison Ivy,18,1989-12-23
186,D.J. Jazzy Jeff & The Fresh Prince,Pump It Hottie,19,1989-12-23
208,De La Soul,Buddy,18,1989-12-30
213,Chubb Rock,I Get The Job Done,23,1989-12-30
255,Wreckx-N-Effect,Juicy,19,1990-01-13
259,Chubb Rock,Nothing Can Stop Us,23,1990-01-13
260,Young M.C.,Stop That Train,24,1990-01-13
282,Serious-Lee-Fine,Welcome To The Terrordome,22,1990-01-20
284,Chubb Rock,Ladies First,24,1990-01-20
323,3rd Bass,The Gas Face,15,1990-02-03
326,Digital Underground,The Humpty Dance,18,1990-02-03
330,Rodney O & Joe Cooley,Get Busy,22,1990-02-03
331,T-Ski,Say It Loud,23,1990-02-03
332,Divine Styler Feat. The Scheme Team,Pump That Beat,24,1990-02-03
346,Heavy D & The Boyz,"Gyrlz, They Love Me",14,1990-02-10
352,Young M.C.,Ain't Sayin' Nothin',20,1990-02-10
369,The 2 Live Crew,C'mon Babe,13,1990-02-17
375,Def Dames,976-Boom,19,1990-02-17
376,Kwame,Sweet Thing,20,1990-02-17
378,Mr. Lee,Positivity,22,1990-02-17
401,LL Cool J,Jingling Baby,21,1990-02-24
405,Maestro Fresh-Wes,Let Your Back Bone Slide,25,1990-02-24
422,Low Profile,Pay Ya Dues,17,1990-03-03
427,Bobby Jimmy & The Critters,Somebody Farted,22,1990-03-03
452,Vicious Beat Posse,Legalized Dope,22,1990-03-10
453,Above The Law,Murder Rap,23,1990-03-10
454,M.C. Hammer,Help The Children,24,1990-03-10
472,M.C. Hammer,"Stop, Look, Listen",17,1990-03-17
479,T-Ski,Funhouse,24,1990-03-17
496,Maestro Fresh-Wes,Pawns In The Game,17,1990-03-24
502,Biz Markie,The Formula,23,1990-03-24
525,Vicious Beat Posse,I Left My Wallet In El Segundo,22,1990-03-31
527,Kid Sensation,Juicy Gotcha Crazy,24,1990-03-31
549,The 2 Live Crew,Back To Boom,22,1990-04-07
550,M.C. Hammer,The Funk Shop,23,1990-04-07
551,The Young And The Restless,Dancin' Machine,24,1990-04-07
574,M.C. Shy-D,Gettin' Bass,23,1990-04-14
575,Kenny B Devine,Don't Sweat Me,24,1990-04-14
589,Kid Sensation,911 Is A Joke,14,1990-04-21
594,M.C. Shy-D,"""B"" Girls",19,1990-04-21
596,Kenny B Devine,The Power,21,1990-04-21
597,Missy Mist,Bass In The Box,22,1990-04-21
621,Mark Dee,Funky For You,22,1990-04-28
